14agree-disagree,DotcountREL,CommacountREL,ExclcountREL,WordcountREL,UppercasecountREL,LowercasecountREL,SpecialcharREL,NumbercountREL,CharcountREL,UniquewordsREL,ApicescountREL,QuotescountREL,OpenparREL,CloseparREL,OperatorcountREL,HashtagcountREL,DottycountREL
1,1.540462888,0,0,1.11556806,0,1.038769733,0.428097056,0,1,1.11556806,0,0,0,0,0,0,0
1,0.512792788,2.070747113,0,0.990274218,1.360498148,1.004854105,0.831284541,0.508065197,1,0.990274218,0.533604527,1.774052311,0,0,0.425097058,0,0
1,0.539820328,0.408729198,0,0.940664627,4.726277539,0.991702969,0.56256344,0,1,0.940664627,0.842593473,0,1.723535069,1.602016732,0,0,0
1,2.275999222,0.861645336,3.597018796,1.081648761,0,1.013334392,1.265007518,0,1,1.081648761,0,0,0,0,0,0,4.972349512
1,0.314223773,0.475833991,0,0.782215788,0.250101525,1.029560076,0.698586241,1.245307398,1,0.782215788,2.942789145,0,0,0,1.562919034,2.864881369,0
-1,0.212656493,1.610145325,0,1.001006357,1.015563769,0.9707022,1.477439336,1.685567589,1,1.001006357,1.327723048,7.357040727,0,0,2.115466167,3.877718217,0
1,0.90227112,0,0,0.898430705,0,1.029637691,0.752227685,1.787905621,1,0.898430705,0,0,0,0,2.243905184,4.113151109,0
-1,0.915347513,0,0,1.015025468,0.364278308,1.02873331,0.445158896,0,1,1.015025468,0,0,0,0,0,0,0
1,0.675497095,0.511457927,0,1.008932878,0,1.05700126,0.46930426,0.669269484,1,1.008932878,0,0,0,0,0,0,0
-1,1.370042916,1.659741992,1.732186926,0.880536503,2.835207311,0.990179414,0.951842696,0,1,0.880536503,1.283081601,0,0,0,0,0,3.591740537
1,0.091138497,1.51813702,0,0.891005658,0.145080538,1.051068779,0.557205692,0.361193055,1,0.891005658,0.569024164,1.891810473,0,0,0,0,0
1,0.349911238,0.794814119,0,1.092777715,0.278506408,1.031539146,0.826547502,0,1,1.092777715,1.092337245,3.631647251,0,0,0,0,0
1,0.393513884,0.297952126,1.865743394,0.881637608,2.035873163,1.025701099,0.519451101,0.779771922,1,0.881637608,0.614227018,0,0,0,0.489325118,0.89694884,0
1,0,0,0,0.879582509,1.288984783,0.938034338,1.350152255,3.209061371,1,0.879582509,0,0,0,0,4.027522125,7.382578913,0
1,0.838923812,1.814850708,0,0.943840434,0.572338595,0.994647416,1.332218544,1.899861761,1,0.943840434,1.122392065,0,1.530577632,1.422663816,2.384415376,3.278033142,1.047307013
1,1.214595739,0.735712556,0,0.96754076,0.386695435,1.008036901,0.675076127,0.962718411,1,0.96754076,0.758334126,0,3.102363124,2.883630118,0,0,2.122810753
1,1.228773899,1.488601281,0,1.090066261,0.39120939,1.015554685,0.887843312,0,1,1.090066261,1.53437255,0,0,0,0,0,0
1,1.228773899,1.488601281,0,1.090066261,0.39120939,1.015554685,0.887843312,0,1,1.090066261,1.53437255,0,0,0,0,0,0
1,0.472216661,0.357542551,0,0.940413449,1.127560521,1.04101007,0.623341321,0,1,0.940413449,0,2.450513379,0,0,0.587190142,0,0
1,0.727159291,0.786534805,0.656692576,0.883922554,0.330726359,1.016603004,1.039261933,0,1,0.883922554,0.32428762,5.031344629,0,0,0,0,0.907780914
1,1.375513142,1.215060664,0,0.954610418,2.189636583,0.996907636,0.828224069,2.271386452,1,0.954610418,2.504842303,0,0,0,0.570139248,0,0
1,0.462138866,1.049736208,1.94765408,0.899426748,0.735664486,0.982835978,1.198671758,2.747269613,1,0.899426748,0.721342217,1.598810558,0.983676112,0.914321745,2.298634579,3.511226556,0
1,0,0.655086523,5.469439539,1.018146877,0,1.032202169,0.721314218,0,1,1.018146877,0,0,0,0,0,0,0
1,1.377012611,1.251139085,0.580332974,0.89748099,0.876809417,0.996803931,0.867394327,3.274362039,1,0.89748099,0.286579757,0,0,0,3.196260291,0,0.802224994
1,0.526873647,1.894900953,0.416338985,0.79290832,0.524196106,1.005496662,1.116444982,1.305040599,1,0.79290832,0.616788966,1.367074721,0.841099491,0.781797529,2.293041794,3.002300079,0
1,0.855426344,0.21589759,0,0.993749539,0,1.055063453,0.356586487,0.565026607,1,0.993749539,0.445071947,0,0,0,0,0,0
-1,0.152190309,1.613249219,0,1.005691326,0.24226702,1.010465905,1.226523856,1.206297769,1,1.005691326,0.475100898,5.265159267,0,0,1.513960124,2.775138098,0
1,0.499939143,1.261776152,0,0.920196477,0.530558381,1.051700768,0.787291948,0,1,0.920196477,1.040458431,0,0,0,0,0,0
1,0.734406726,1.112123631,1.547554598,0.952881051,0,1.037014705,0.612278348,0,1,0.952881051,1.52842537,0,0,0,0,0,0
1,0.429652914,1.301260303,2.716116234,1.12790002,0,1.017751542,0.955209759,0,1,1.12790002,1.341271243,0,0,0,2.137052556,0,0
1,0.765563375,0.579652317,2.419812645,1.178107481,0,1.039092583,0.638253793,0,1,1.178107481,0,0,4.888572195,4.543902005,0,0,0
1,1.002523467,3.036274041,0,0.952881051,0,1.005370136,1.114411385,0,1,0.952881051,0,0,0,0,0,0,0
1,0.269910164,0.817458396,0.975016084,0.80279356,0.368281367,1.022704104,0.99654095,1.298905793,1,0.80279356,1.324075458,0.800381354,1.969754364,1.830876266,1.917867679,2.812411015,0.336954088
1,0.665999772,0.672355939,0,0.914363891,0.353394774,1.049816989,0.462705957,0.43990648,1,0.914363891,1.039544144,0,0,0,0,0,0
1,0.553217329,1.675491369,5.245871208,0.943143581,4.40324729,0.935806519,1.306789701,1.461645471,1,0.943143581,3.741853058,0,1.177539288,1.094516541,0.917216718,0,0
1,0.663086388,1.004122124,0,0.825330044,1.319433243,0.954460136,1.842727487,2.627892777,1,0.825330044,1.55249506,5.735016,2.117098195,1.967831577,3.298128354,6.045576433,0
1,0,0.741415754,52.61685634,1.019361125,0,0.922731452,2.585175248,0,1,1.019361125,0,0,0,0,0,0,0
1,0.649783729,1.180773238,0,0.941117088,0,1.047100059,0.686188492,0,1,0.941117088,1.217079461,0,0,0,0.64639244,0,0
1,1.064477164,0.537318159,0,1.12418551,0,1.042959527,0.493033127,0,1,1.12418551,0,0,0,0,0,0,0
1,1.679760064,2.034949623,0,1.04918286,0.26739578,0.987482957,1.073658309,2.329983389,1,1.04918286,1.048759961,0,0,0,0,0,1.467901053
1,0.426749854,0.861645336,0,0.94000428,0.905773091,1.025632139,0.909224154,0,1,0.94000428,0.888139066,2.952758238,1.816699126,1.688612232,0,0,0
1,1.857617012,2.250414877,4.697283369,1.109826165,0,1.002107272,1.238963246,0,1,1.109826165,0,0,0,0,0,0,3.24665174
1,1.857617012,2.250414877,4.697283369,1.109826165,0,1.002107272,1.238963246,0,1,1.109826165,0,0,0,0,0,0,3.24665174
1,0.612344666,2.516911376,0,0.950241491,0.835519223,0.995238648,1.093959929,0.693370601,1,0.950241491,0.273084311,3.026372709,0,0,0.870212537,0,0
1,0.612344666,2.516911376,0,0.950241491,0.835519223,0.995238648,1.093959929,0.693370601,1,0.950241491,0.273084311,3.026372709,0,0,0.870212537,0,0
1,0.467844285,2.125391829,0,1.143457261,0,1.059683236,0.650073308,0,1,1.143457261,0,0,0,0,0,0,0
1,0.574172531,0,0,0.987531271,0.914007392,1.006000462,0.691441609,2.275516245,1,0.987531271,0.597475372,0,0,0,1.90391955,3.489946395,0
1,0.764901123,0.827358411,0.690776966,0.90507214,0.52183813,1.013632261,1.032469371,0.649585087,1,0.90507214,2.21727452,1.134104375,2.093289997,1.945701983,0.543506446,0.498132487,0
-1,0.75964407,0.986006518,0,0.874292923,1.036503228,0.992593036,1.055531402,2.15040195,1,0.874292923,0,0,0,0,2.698855032,4.947088962,0
1,0,1.156967326,1.609955993,1.083517969,0,1.039199332,0.566192881,1.00930156,1,1.083517969,2.385083137,0,3.252477468,3.023160608,0,0,0
1,0.367737866,0.974524638,0,0.932075788,0.439042852,1.026867284,0.843108177,1.093042738,1,0.932075788,0.573993807,0,1.174111226,1.091330176,1.371819763,2.514590198,0
1,1.0186932,0,0,1.198785839,0,1.039199332,0.566192881,0,1,1.198785839,0,0,0,0,0,0,0
1,0,0,4.81047092,0.895478578,0,1.052568651,0.422939261,0,1,0.895478578,2.37550449,0,0,0,0,0,0
-1,0.572685037,1.982230721,0,0.896103165,1.041873711,0.997264485,1.250464847,0.324231589,1,0.896103165,1.276987517,5.094655405,0,0,1.627703242,0,0
1,0,0,0,1.11556806,0,1.092039976,0,0,1,1.11556806,0,0,0,0,0,0,0
1,0,0.262034609,0,0.90850029,6.61090278,0.990315704,0.288525687,0.685772019,1,0.90850029,0,0,0,0,0.860675961,1.577647001,0
1,0.508321758,0.769759616,0,0.966301911,1.41606779,1.030516597,0.706317075,0.503635386,1,0.966301911,0,0,1.622966624,1.508538895,0.632085967,1.158634115,0
1,0.469583483,1.422195276,0,0.935169507,0,1.043324438,0.652489937,0,1,0.935169507,0,0,0,0,0,0,0
1,1.038229782,1.048138436,1.093887908,1.080802069,0.550908565,1.023226498,0.721314218,0,1,1.080802069,0.540183213,0,0,0,0.860675961,0,1.512139167
1,0.374830732,0.283806031,1.184774737,0.967018752,0.298340692,1.014268583,0.885411419,0,1,0.967018752,1.755194712,3.890280883,2.393514576,2.224759142,0,0,0
1,0.7301616,1.105695171,0,0.892293239,0,1.054165757,0.811652223,0,1,0.892293239,0,0,0,0,0,0,0
1,0.716901004,2.062667439,0,0.902046307,0.342363722,1.010229943,1.135599116,0.568233342,1,0.902046307,2.014190527,2.480182856,0,0,0,0,0
1,0.734406726,0,0,0.814380898,0,1.069818232,0.306139174,0,1,0.814380898,0,0,0,0,0,0,0
1,0.859305829,0,0,1.050113811,1.025926664,1.047466915,0.656706709,0.851383629,1,1.050113811,0,0,0,0,1.068526278,1.958643385,0
1,0.740144278,1.120812097,0,1.027324883,0.392737551,1.036584821,0.617061773,0,1,1.027324883,0,0,0,0,0,0,0
1,0.501261733,1.51813702,0,1.043631627,0,1.040038072,0.696507116,0,1,1.043631627,0,0,6.401701684,5.950347863,0,0,0
1,0.75574846,0.326983358,0,0.987087038,3.781022032,0.991236286,0.570064285,0.855749699,1,0.987087038,1.685186946,0,1.378828055,1.281613386,0.53700295,0,0.943471446
1,1.644765063,1.49441613,0,0.982658584,0,1.009568207,0.914165589,0,1,0.982658584,0.513455398,0,0,0,1.636180863,0,1.437319781
1,0.402286487,0,0,0.910395909,0,1.008571952,0.894368373,0,1,0.910395909,0,0,5.137671415,4.775438413,0,0,0
-1,4.074772801,0,0,0.922142953,0,0.986358688,1.415482203,0,1,0.922142953,0,0,0,0,0,0,8.90210961
1,0.43809696,1.769112274,0,0.839416602,2.324643078,0.974629897,1.116021806,0.578744016,1,0.839416602,1.139692906,3.536482699,2.797506632,2.600267621,1.089526216,0,0
1,1.415327248,0.803719599,1.118400802,1.008932878,0,1.030861265,0.835808539,0,1,1.008932878,0.552288159,0,2.259424124,2.100122775,0,0,1.546024638
1,0.779740474,0,0,0.988172942,7.447467638,0.94373825,0.866764411,0,1,0.988172942,0,0,0,0,0,0,0
1,0,0,0,1.138038033,1.905986978,0.978177988,1.164586305,0,1,1.138038033,1.86888031,10.355645,3.822817119,3.553288298,0,0,0
1,0.677671442,0,0,0.834282122,0.647258454,1.03345414,0.828634216,0,1,0.834282122,0,4.68892939,3.46186443,3.217784681,0.674134605,0,1.184400849
1,2.577917487,0.487972614,0,0.991774155,0,1.030752018,0.895509149,0,1,0.991774155,1.005953432,0,0,0,0,0,5.631946896
1,0.357335097,0.676397682,2.823685193,0.873361982,0,1.011720204,1.067517837,0.354040717,1,0.873361982,0.278878179,3.090581465,2.28179466,2.12091607,2.221688301,0.814485368,0
1,0.497314791,1.317910287,3.929813842,0.92286905,8.114514444,0.857724312,1.554801317,2.710014426,1,0.92286905,0.77624753,4.301262,6.351294584,5.903494731,2.473596266,1.133545581,0
1,0.477162612,0.788263453,0,0.687173835,0.345263781,1.02003734,0.988504329,1.117441013,1,0.687173835,0,0,1.661980245,3.089603698,4.530962391,1.977476495,0
1,0.348944632,1.761374444,2.941208739,0.905500225,0.185158035,1.033717399,0.808102178,0,1,0.905500225,0,2.414410051,0,0,0,0,1.016447138
1,0.583005955,0.294285022,0,0.844399208,0.618712696,1.01811727,0.918103533,0.385087365,1,0.844399208,0,4.033922023,2.481890499,2.306904095,2.89981593,0,0
1,0.945808329,0.159139155,0,0.951295559,1.672892065,1.01572437,0.730115612,1.041209596,1,0.951295559,0.65612936,0,0,0,1.568120095,1.916276723,0.91835407
1,0.503928019,1.017474812,0,1.140416152,0,1.033952743,0.560169553,0,1,1.140416152,1.048759961,0,0,0,0,0,0
-1,0,1.242112108,0,0.779629951,0,1.006945951,0.911791133,3.250737493,1,0.779629951,0,0,0,0,4.079827607,7.478456561,0
-1,0.689508498,2.505920497,0,0.873821051,0,1.015740239,1.226339166,0,1,0.873821051,0,0,0,0,2.743639526,0,0
-1,0.896578558,0.603423548,0,0.856691166,0.158581724,1.012806791,0.802850789,1.184416973,1,0.856691166,0,0,0,0,2.477497837,1.816533613,0
1,1.417312279,1.073129114,0,1.002329296,1.551120539,1.015459332,0.738512454,0.351061412,1,1.002329296,0.276531378,0,1.131296511,1.051534125,0,0,2.322289464
1,0.205061618,0.931584081,0,1.002381366,0,1.038856211,0.569869458,0,1,1.002381366,1.280304368,0,0,0,0,0,0
