14agree-disagree,DotcountREL,CommacountREL,ExclcountREL,WordcountREL,UppercasecountREL,LowercasecountREL,SpecialcharREL,NumbercountREL,CharcountREL,UniquewordsREL,ApicescountREL,QuotescountREL,OpenparREL,CloseparREL,OperatorcountREL,HashtagcountREL,DottycountREL,LinkcountREL,14agree-disagreeREL
,0.574172531,1.95632657,0,1.039506601,0,1.047365613,0.718035517,0,1,1.039506601,0,0,0,0,0,0,0,,
1,1.540462888,0,0,1.11556806,0,1.038769733,0.428097056,0,1,1.11556806,0,0,0,0,0,0,0,,-54.05266973
1,0.512792788,2.070747113,0,0.990274218,1.360498148,1.004854105,0.831284541,0.508065197,1,0.990274218,0.533604527,1.774052311,0,0,0.425097058,0,0,,-2.998862597
1,0.539820328,0.408729198,0,0.940664627,4.726277539,0.991702969,0.56256344,0,1,0.940664627,0.842593473,0,1.723535069,1.602016732,0,0,0,,-4.735383459
1,2.275999222,0.861645336,3.597018796,1.081648761,0,1.013334392,1.265007518,0,1,1.081648761,0,0,0,0,0,0,4.972349512,,-19.96540053
1,0.314223773,0.475833991,0,0.782215788,0.250101525,1.029560076,0.698586241,1.245307398,1,0.782215788,2.942789145,0,0,0,1.562919034,2.864881369,0,,-5.512834475
,0,0,39.14402807,1.008932878,25.6280504,0.599551359,1.720782286,0,1,1.008932878,0,0,0,0,0,0,0,,
-1,0.212656493,1.610145325,0,1.001006357,1.015563769,0.9707022,1.477439336,1.685567589,1,1.001006357,1.327723048,7.357040727,0,0,2.115466167,3.877718217,0,,7.46181636
1,0.90227112,0,0,0.898430705,0,1.029637691,0.752227685,1.787905621,1,0.898430705,0,0,0,0,2.243905184,4.113151109,0,,-15.82971042
-1,0.915347513,0,0,1.015025468,0.364278308,1.02873331,0.445158896,0,1,1.015025468,0,0,0,0,0,0,0,,8.029563257
1,0.675497095,0.511457927,0,1.008932878,0,1.05700126,0.46930426,0.669269484,1,1.008932878,0,0,0,0,0,0,0,,-11.8511201
-1,1.370042916,1.659741992,1.732186926,0.880536503,2.835207311,0.990179414,0.951842696,0,1,0.880536503,1.283081601,0,0,0,0,0,3.591740537,,4.80728733
1,0.091138497,1.51813702,0,0.891005658,0.145080538,1.051068779,0.557205692,0.361193055,1,0.891005658,0.569024164,1.891810473,0,0,0,0,0,,-3.197921297
1,0.349911238,0.794814119,0,1.092777715,0.278506408,1.031539146,0.826547502,0,1,1.092777715,1.092337245,3.631647251,0,0,0,0,0,,-6.13894587
1,0.393513884,0.297952126,1.865743394,0.881637608,2.035873163,1.025701099,0.519451101,0.779771922,1,0.881637608,0.614227018,0,0,0,0.489325118,0.89694884,0,,-3.451961774
1,0,0,0,0.879582509,1.288984783,0.938034338,1.350152255,3.209061371,1,0.879582509,0,0,0,0,4.027522125,7.382578913,0,,-28.41230076
1,0.838923812,1.814850708,0,0.943840434,0.572338595,0.994647416,1.332218544,1.899861761,1,0.943840434,1.122392065,0,1.530577632,1.422663816,2.384415376,3.278033142,1.047307013,,-4.205236165
1,1.214595739,0.735712556,0,0.96754076,0.386695435,1.008036901,0.675076127,0.962718411,1,0.96754076,0.758334126,0,3.102363124,2.883630118,0,0,2.122810753,,-8.523690227
1,1.228773899,1.488601281,0,1.090066261,0.39120939,1.015554685,0.887843312,0,1,1.090066261,1.53437255,0,0,0,0,0,0,,-8.623188556
1,1.228773899,1.488601281,0,1.090066261,0.39120939,1.015554685,0.887843312,0,1,1.090066261,1.53437255,0,0,0,0,0,0,,-8.623188556
1,0.472216661,0.357542551,0,0.940413449,1.127560521,1.04101007,0.623341321,0,1,0.940413449,0,2.450513379,0,0,0.587190142,0,0,,-4.142354129
0,0.592115423,0,2.49543179,0.946925545,3.14190041,0.982835978,0.767899095,0.782208709,1,0.946925545,0,4.096952055,0,0,0.981708518,1.79950361,0,,0
1,0.727159291,0.786534805,0.656692576,0.883922554,0.330726359,1.016603004,1.039261933,0,1,0.883922554,0.32428762,5.031344629,0,0,0,0,0.907780914,,-3.64499911
1,1.375513142,1.215060664,0,0.954610418,2.189636583,0.996907636,0.828224069,2.271386452,1,0.954610418,2.504842303,0,0,0,0.570139248,0,0,,-4.022067984
0,0.369350751,0.559313639,0,1.003032685,0,1.072881379,0.205286308,0,1,1.003032685,0,0,0,0,0,0,0,,0
1,0.462138866,1.049736208,1.94765408,0.899426748,0.735664486,0.982835978,1.198671758,2.747269613,1,0.899426748,0.721342217,1.598810558,0.983676112,0.914321745,2.298634579,3.511226556,0,,-2.702633487
1,0,0.655086523,5.469439539,1.018146877,0,1.032202169,0.721314218,0,1,1.018146877,0,0,0,0,0,0,0,,-15.17917438
1,1.377012611,1.251139085,0.580332974,0.89748099,0.876809417,0.996803931,0.867394327,3.274362039,1,0.89748099,0.286579757,0,0,0,3.196260291,0,0.802224994,,-3.221162004
1,0.526873647,1.894900953,0.416338985,0.79290832,0.524196106,1.005496662,1.116444982,1.305040599,1,0.79290832,0.616788966,1.367074721,0.841099491,0.781797529,2.293041794,3.002300079,0,,-2.310906631
1,0.855426344,0.21589759,0,0.993749539,0,1.055063453,0.356586487,0.565026607,1,0.993749539,0.445071947,0,0,0,0,0,0,,-5.002617289
,0.529265182,1.602949145,0,0.862383968,0,1.04323372,0.588334502,1.398361938,1,0.862383968,0,0,2.253112883,2.094256511,0,0,1.541706134,,
-1,0.152190309,1.613249219,0,1.005691326,0.24226702,1.010465905,1.226523856,1.206297769,1,1.005691326,0.475100898,5.265159267,0,0,1.513960124,2.775138098,0,,5.340143275
1,0.499939143,1.261776152,0,0.920196477,0.530558381,1.051700768,0.787291948,0,1,0.920196477,1.040458431,0,0,0,0,0,0,,-5.847386435
1,0.734406726,1.112123631,1.547554598,0.952881051,0,1.037014705,0.612278348,0,1,0.952881051,1.52842537,0,0,0,0,0,0,,-8.589765345
,0.592115423,2.391065807,0,0.929059025,0.628380082,1.01866854,0.932448901,0.391104355,1,0.929059025,0.616146477,2.048476027,0,0,0,0,0.862391869,,
,0.579440169,1.754910684,0,1.153947695,0,1.031927683,1.127191332,0,1,1.153947695,1.808870392,0,0,0,0,0,0,,
1,0.429652914,1.301260303,2.716116234,1.12790002,0,1.017751542,0.955209759,0,1,1.12790002,1.341271243,0,0,0,2.137052556,0,0,,-15.07591469
1,0.765563375,0.579652317,2.419812645,1.178107481,0,1.039092583,0.638253793,0,1,1.178107481,0,0,4.888572195,4.543902005,0,0,0,,-13.43126945
1,1.002523467,3.036274041,0,0.952881051,0,1.005370136,1.114411385,0,1,0.952881051,0,0,0,0,0,0,0,,-17.58856713
1,0.269910164,0.817458396,0.975016084,0.80279356,0.368281367,1.022704104,0.99654095,1.298905793,1,0.80279356,1.324075458,0.800381354,1.969754364,1.830876266,1.917867679,2.812411015,0.336954088,,-1.352966703
1,0.665999772,0.672355939,0,0.914363891,0.353394774,1.049816989,0.462705957,0.43990648,1,0.914363891,1.039544144,0,0,0,0,0,0,,-3.89483209
1,0.553217329,1.675491369,5.245871208,0.943143581,4.40324729,0.935806519,1.306789701,1.461645471,1,0.943143581,3.741853058,0,1.177539288,1.094516541,0.917216718,0,0,,-3.235269283
,0.597530543,0.542909928,1.888690096,0.887071858,0.475595142,1.023852049,0.78045698,0.947234766,1,0.887071858,0.746137645,0,1.526233514,1.418625981,1.188823939,2.179152905,0,,
1,0.663086388,1.004122124,0,0.825330044,1.319433243,0.954460136,1.842727487,2.627892777,1,0.825330044,1.55249506,5.735016,2.117098195,1.967831577,3.298128354,6.045576433,0,,-5.816691493
1,0,0.741415754,52.61685634,1.019361125,0,0.922731452,2.585175248,0,1,1.019361125,0,0,0,0,0,0,0,,-17.17953069
1,0.649783729,1.180773238,0,0.941117088,0,1.047100059,0.686188492,0,1,0.941117088,1.217079461,0,0,0,0.64639244,0,0,,-4.559998887
1,1.064477164,0.537318159,0,1.12418551,0,1.042959527,0.493033127,0,1,1.12418551,0,0,0,0,0,0,0,,-12.45033404
1,1.679760064,2.034949623,0,1.04918286,0.26739578,0.987482957,1.073658309,2.329983389,1,1.04918286,1.048759961,0,0,0,0,0,1.467901053,,-5.894041114
