14agree-disagree,DotcountREL,CommacountREL,ExclcountREL,WordcountREL,UppercasecountREL,LowercasecountREL,SpecialcharREL,NumbercountREL,CharcountREL,UniquewordsREL,ApicescountREL,QuotescountREL,OpenparREL,CloseparREL,OperatorcountREL,HashtagcountREL,DottycountREL
1,0.024390244,0,0,0.195121951,0,0.951219512,0.024390244,0,1,0.195121951,0,0,0,0,0,0,0
1,0.00811908,0.02165088,0,0.173207037,0.0135318,0.920162382,0.047361299,0.00405954,1,0.173207037,0.00270636,0.00811908,0,0,0.00135318,0,0
1,0.008547009,0.004273504,0,0.164529915,0.047008547,0.908119658,0.032051282,0,1,0.164529915,0.004273504,0,0.002136752,0.002136752,0,0,0
1,0.036036036,0.009009009,0.009009009,0.189189189,0,0.927927928,0.072072072,0,1,0.189189189,0,0,0,0,0,0,0.009009009
1,0.004975124,0.004975124,0,0.13681592,0.002487562,0.94278607,0.039800995,0.009950249,1,0.13681592,0.014925373,0,0,0,0.004975124,0.004975124,0
-1,0.003367003,0.016835017,0,0.175084175,0.01010101,0.888888889,0.084175084,0.013468013,1,0.175084175,0.006734007,0.033670034,0,0,0.006734007,0.006734007,0
1,0.014285714,0,0,0.157142857,0,0.942857143,0.042857143,0.014285714,1,0.157142857,0,0,0,0,0.007142857,0.007142857,0
-1,0.014492754,0,0,0.177536232,0.003623188,0.942028986,0.025362319,0,1,0.177536232,0,0,0,0,0,0,0
1,0.010695187,0.005347594,0,0.176470588,0,0.967914439,0.026737968,0.005347594,1,0.176470588,0,0,0,0,0,0,0
-1,0.021691974,0.017353579,0.004338395,0.154013015,0.028199566,0.906724512,0.054229935,0,1,0.154013015,0.006507592,0,0,0,0,0,0.006507592
1,0.001443001,0.015873016,0,0.155844156,0.001443001,0.962481962,0.031746032,0.002886003,1,0.155844156,0.002886003,0.008658009,0,0,0,0,0
1,0.005540166,0.008310249,0,0.191135734,0.002770083,0.944598338,0.047091413,0,1,0.191135734,0.005540166,0.016620499,0,0,0,0,0
1,0.00623053,0.003115265,0.004672897,0.154205607,0.020249221,0.939252336,0.029595016,0.00623053,1,0.154205607,0.003115265,0,0,0,0.001557632,0.001557632,0
