,Dotcount,Commacount,Exclcount,Wordcount,Uppercasecount,Lowercasecount,Specialchar,Numbercount,Charcount,Uniquewords,Apicescount,Quotescount,Openpar,Closepar,Operatorcount,Hashtagcount,Dottycount,Linkcount,14agree-disagree
0,4,9,0,80,0,422,18,0,440,80,0,0,0,0,0,0,0,0,
1,1,0,0,8,0,39,1,0,41,8,0,0,0,0,0,0,0,0,1.0
2,6,16,0,128,10,680,35,3,739,128,2,6,0,0,1,0,0,0,1.0
3,4,2,0,77,22,425,15,0,468,77,2,0,1,1,0,0,0,0,1.0
4,4,1,1,21,0,103,8,0,111,21,0,0,0,0,0,0,1,0,1.0
5,2,2,0,55,1,379,16,4,402,55,6,0,0,0,2,2,0,0,1.0
6,0,0,5,9,13,28,5,0,51,9,0,0,0,0,0,0,0,0,
7,1,5,0,52,3,264,25,4,297,52,2,10,0,0,2,2,0,0,-1.0
8,2,0,0,22,0,132,6,2,140,22,0,0,0,0,1,1,0,0,1.0
9,4,0,0,49,1,260,7,0,276,49,0,0,0,0,0,0,0,0,-1.0
10,2,1,0,33,0,181,5,1,187,33,0,0,0,0,0,0,0,0,1.0
11,10,8,2,71,13,418,25,0,461,71,3,0,0,0,0,0,3,0,-1.0
12,1,11,0,108,1,667,22,2,693,108,2,6,0,0,0,0,0,0,1.0
13,2,3,0,69,1,341,17,0,361,69,2,6,0,0,0,0,0,0,1.0
14,4,2,3,99,13,603,19,4,642,99,2,0,0,0,1,1,0,0,1.0
15,0,0,0,12,1,67,6,2,78,12,0,0,0,0,1,1,0,0,1.0
16,7,10,0,87,3,480,40,8,527,87,3,0,1,1,4,3,1,0,1.0
17,5,2,0,44,1,240,10,2,260,44,1,0,1,1,0,0,1,0,1.0
18,5,4,0,49,1,239,13,0,257,49,2,0,0,0,0,0,0,0,1.0
19,5,4,0,49,1,239,13,0,257,49,2,0,0,0,0,0,0,0,1.0
20,4,2,0,88,6,510,19,0,535,88,0,6,0,0,1,0,0,0,1.0
21,3,0,2,53,10,288,14,2,320,53,0,6,0,0,1,1,0,0,0.0
22,7,5,1,94,2,566,36,0,608,94,1,14,0,0,0,0,1,0,1.0
23,12,7,0,92,12,503,26,10,551,92,7,0,0,0,1,0,0,0,1.0
24,1,1,0,30,0,168,2,0,171,30,0,0,0,0,0,0,0,0,0.0
25,6,9,4,129,6,738,56,18,820,129,3,6,1,1,6,5,0,0,1.0
26,0,1,2,26,0,138,6,0,146,26,0,0,0,0,0,0,0,0,1.0
27,15,9,1,108,6,628,34,18,688,108,1,0,0,0,7,0,1,0,1.0
28,8,19,1,133,5,883,61,10,959,133,3,6,1,1,7,5,0,0,1.0
29,6,1,0,77,0,428,9,2,443,77,1,0,0,0,0,0,0,0,1.0
30,3,6,0,54,0,342,12,4,358,54,0,0,1,1,0,0,1,0,
31,1,7,0,73,1,384,29,4,415,73,1,10,0,0,2,2,0,0,-1.0
32,3,5,0,61,2,365,17,0,379,61,2,0,0,0,0,0,0,0,1.0
33,3,3,1,43,0,245,9,0,258,43,2,0,0,0,0,0,0,0,1.0
34,6,16,0,104,4,597,34,2,640,104,2,6,0,0,0,0,1,0,
35,1,2,0,22,0,103,7,0,109,22,1,0,0,0,0,0,0,0,
36,1,2,1,29,0,137,8,0,147,29,1,0,0,0,1,0,0,0,1.0
37,2,1,1,34,0,157,6,0,165,34,0,0,1,1,0,0,0,0,1.0
38,2,4,0,21,0,116,8,0,126,21,0,0,0,0,0,0,0,0,1.0
39,7,14,4,230,6,1534,93,17,1638,230,11,6,4,4,10,8,1,0,1.0
40,6,4,0,91,2,547,15,2,569,91,3,0,0,0,0,0,0,0,1.0
41,6,12,9,113,30,587,51,8,685,113,13,0,1,1,2,0,0,0,1.0
42,10,6,5,164,5,991,47,8,1057,164,4,0,2,2,4,4,0,0,
43,4,4,0,55,5,333,40,8,381,55,3,10,1,1,4,4,0,0,1.0
44,0,1,17,23,0,109,19,0,129,23,0,0,0,0,0,0,0,0,1.0
45,5,6,0,80,0,466,19,0,486,80,3,0,0,0,1,0,0,0,1.0
46,3,1,0,35,0,170,5,0,178,35,0,0,0,0,0,0,0,0,1.0
47,10,8,0,69,1,340,23,7,376,69,2,0,0,0,0,0,1,0,1.0
48,3,4,0,73,4,417,23,0,444,73,2,6,1,1,0,0,0,0,1.0
49,5,4,2,33,0,156,12,0,170,33,0,0,0,0,0,0,1,0,1.0
50,5,4,2,33,0,156,12,0,170,33,0,0,0,0,0,0,1,0,1.0
51,7,19,0,120,6,658,45,4,722,120,1,10,0,0,2,0,0,0,1.0
52,7,19,0,120,6,658,45,4,722,120,1,10,0,0,2,0,0,0,1.0
