created_at,text,screen_name,followers,friends,rt,fav
Mon Jun 05 08:17:05 +0000 2017,"b'RT @SteveHiltonx: Theresa May responsible for security failures of London Bridge, Manchester, Westminster Bridge. Should be resigning\\u2026 '",the39thstep,81,184,0,0
Mon Jun 05 08:17:05 +0000 2017,"b'RT @SteveHiltonx: Theresa May responsible for security failures of London Bridge, Manchester, Westminster Bridge. Should be resigning\\u2026 '",superphonic,44,98,0,0
Mon Jun 05 08:17:05 +0000 2017,b'RT @toadmeister: Bit rich of @UKLabour to criticise @Number10gov for cutting armed police when its leader opposes shoot-to-kill https://t.c\\u2026',LinrivRivers,208,439,0,0
Mon Jun 05 08:17:05 +0000 2017,b'RT @MattTurner4L: Jeremy Corbyn is the only political leader who has the backbone to stand up and tell the British people the truth i\\u2026 ',Mickster_1,3466,4064,0,0
Mon Jun 05 08:17:05 +0000 2017,"b'RT @SteveHiltonx: Theresa May blame-shifting again. her spin doctors attack MI5, but she was in charge of them for years... https://t.co/nl\\u2026'",stokey4labour,2459,2634,0,0
Mon Jun 05 08:17:05 +0000 2017,b'RT @paulmasonnews: Former Cameron adviser: May should resign over anti-terror failings https://t.co/zqQAb7Kb74',JMCoghlan,411,606,0,0
Mon Jun 05 08:17:06 +0000 2017,"b'RT @JamesMelville: The Surrey Police Crime Commissioner highlights Theresa May\'s ""contemptuous"" treatment of the police. \\nhttps://t.co/Hsy3\\u2026'",ScotWedPhotos,1738,3360,0,0
Mon Jun 05 08:17:06 +0000 2017,"b""RT @MarcherLord1: This should be RT'd on the hour, every hour for the rest of the day\\n\\n Corbyn opposes 'shoot to kill' policy https://t.co/\\u2026""",StrongerUnited1,3111,398,0,0
Mon Jun 05 08:17:06 +0000 2017,"b'RT @YvetteCooperMP: Reminder from @DavidHansonMP that ""Enough is Enough"" was the warning given to Theresa May in 2012 against cutting 2\\u2026 '",wastespecialist,798,664,0,0
Mon Jun 05 08:17:06 +0000 2017,"b'RT @ToryFibs: 4 Arab States have today cut ties with Qatar for its ISIS links. Here is Theresa May meeting Qatar PM, Sheikh Abdul\\u2026 '",katemakeuplooks,118,110,0,0
Mon Jun 05 08:17:06 +0000 2017,"b""RT @Rebecca_Omonira: Is May using the attacks to finish work she started as home secretary, hounding innocent communities? PREVENT didn'\\u2026 """,DiLeed,7531,6840,0,0
Mon Jun 05 08:17:06 +0000 2017,"b""U.K. Prime Minister Theresa May Calls Out 'Big Internet Companies' After London Terror Attack https://t.co/5U1whThy07""",TheStreetTech,6666,182,0,0
Mon Jun 05 08:17:06 +0000 2017,"b'RT @spellar: 20 May 2015 Home Sec Theresa May told  Police Federation to stop ""crying wolf"" about the impact of financial cuts. https://t.c\\u2026'",ccakirby,810,779,0,0
Mon Jun 05 08:17:06 +0000 2017,b'RT @OwenJones84: Jeremy Corbyn commits to giving police whatever power and authority needed to protect civilians - and to reverse the Torie\\u2026',ipaulmadden,531,386,0,0
Mon Jun 05 08:17:07 +0000 2017,"b""RT @noddingoff123: #r4today Like Jacob Marley, Theresa May's chain necklace of burden seems to grow longer and heavier with every pass\\u2026 """,sandiegardener,982,943,0,0
Mon Jun 05 08:17:07 +0000 2017,"b'RT @EL4JC: Jeremy Corbyn: ""Yes, we do need to have difficult conversations starting with Saudi Arabia and others that have fun\\u2026 '",myzenit,233,591,0,0
Mon Jun 05 08:17:07 +0000 2017,"b'RT @doctor_oxford: Doctors, like police officers, are utterly sick of a govt spinning away the cuts that stop us keeping you safe. https://\\u2026'",SugarDuck,32,216,0,0
Mon Jun 05 08:17:07 +0000 2017,"b'RT @YvetteCooperMP: Reminder from @DavidHansonMP that ""Enough is Enough"" was the warning given to Theresa May in 2012 against cutting 2\\u2026 '",byrne_roberts,29,67,0,0
Mon Jun 05 08:17:07 +0000 2017,"b""THE INDIPENDENT - Theresa May must resign over 'security failures' that led to recent terror attacks, says David Cameron's former policy gu\\u2026""",PaginaNuova,1113,483,0,0
Mon Jun 05 08:17:07 +0000 2017,"b'RT @Frances_Coppola: Just like ""Brexit means Brexit"", ""Strong and Stable"". Soundbite = strategy. Detail is for the birds (and the Labour\\u2026 '",StevePeers,33736,27102,0,0
Mon Jun 05 08:17:08 +0000 2017,b'RT @wikileaks: How MI5 (which Theresa May was in charge of at the time) helped #Manchester terrorists https://t.co/llxbELEtrF More\\u2026 ',GloryStalin,506,508,0,0
Mon Jun 05 08:17:08 +0000 2017,"b'RT @BigGucci_Idz: 3 attacks in 4 months, thank you Theresa May for protecting us. Top lass https://t.co/Edp7ZxYcX8'",aaronmario__,86,102,0,0
Mon Jun 05 08:17:08 +0000 2017,"b""@Kevinpo86545910 @kvnbhrly1 Why couldn't Theresa May have reduced non-EU immigration as promised? All she had to do\\u2026 https://t.co/I7nrEsPQAB""",Gooner_AK,4775,255,0,0
Mon Jun 05 08:17:08 +0000 2017,"b""RT @ToryFibs: Jeremy Corbyn's motion to halt the sale of UK Arms to Saudi Arabia was defeated by 283 MPs v 193. If Labour win, we\\u2026 """,___Wazza,1294,201,0,0
Mon Jun 05 08:17:08 +0000 2017,"b""RT @Redpeter99: Is there anything less researched than Theresa May's record as Home Secretary?  She was in the job for SIX years. #r4today""",JTandfriends,115,524,0,0
Mon Jun 05 08:17:08 +0000 2017,"b""RT @ToryFibs: For some bizarre reason Theresa May has sent her Culture Minister, Karen Bradley, out to defend her cuts to policing. It's no\\u2026""",AaronATKnox,550,1171,0,0
Mon Jun 05 08:17:08 +0000 2017,"b'RT @PetersWooll: #GE2017\\nJeremy Corbyn full speech. Watch, listen &amp; decide for yourself.\\nhttps://t.co/oSJqrrQsR6'",longsight9a,51080,49299,0,0
Mon Jun 05 08:17:08 +0000 2017,"b""RT @KCMANC: The Tories keep banging on re. Corbyn &amp; Abbott &amp; co. in the 80s. To redress the balance, here's Theresa May's 'Cure\\u2026 """,fronesis2,533,217,0,0
Mon Jun 05 08:17:09 +0000 2017,b'RT @guardian: Theresa May\\u2019s \\u2018enough is enough\\u2019 risks making the extremist threat worse | Richard Barrett https://t.co/ltAL76tJOX',TomJamesScott,839,1758,0,0
Mon Jun 05 08:17:09 +0000 2017,b'RT @brexit_sham: In 2013 Jeremy Corbyn won the Gandhi Peace Award for a lifetime of fighting for peace and social justice. May sells\\u2026 ',Lambdoid,966,2901,0,0
Mon Jun 05 08:17:09 +0000 2017,b'RT @JamesMelville: Disgraceful hypocrisy from Theresa May. She was the Home Secretary who cut our emergency and security services. \\nhttps:/\\u2026',GranInTheGarden,151,323,0,0
Mon Jun 05 08:17:09 +0000 2017,"b""Theresa May must resign over 'security failures' that led to recent terror attacks, says David Cameron's former policy guru \\u2026""",newsly,320,2,0,0
Mon Jun 05 08:17:09 +0000 2017,b'RT @timfarron: Theresa May has chosen ineffective mass surveillance over investing in police and local intelligence-gathering https://t.co/\\u2026',PixelRobot,3029,168,0,0
Mon Jun 05 08:17:09 +0000 2017,b'I love Larry https://t.co/JtAoPm2hIR',OanaBlack,161,250,0,0
Mon Jun 05 08:17:09 +0000 2017,"b'RT @ToryFibs: 4 Arab States have today cut ties with Qatar for its ISIS links. Here is Theresa May meeting Qatar PM, Sheikh Abdul\\u2026 '",Jack4Ianto,866,1238,0,0
Mon Jun 05 08:17:09 +0000 2017,"b""RT @SocialistVoice: WATCH: Jeremy Corbyn calls out Saudi Arabia's links to terror. \\n\\nPay attention, Theresa May. \\n\\n#GE2017 https://t.co/VBd\\u2026""",sarmcdonnell,614,1182,0,0
Mon Jun 05 08:17:09 +0000 2017,b'RT @Controversialnk: Attempted BBC censorship Theresa May Censors Mr Ethical Hastings \\n\\nover 18 Its your future looks grim under Tories htt\\u2026',RDGray,368,1208,0,0
Mon Jun 05 08:17:09 +0000 2017,b'RT @Conservatives: Only Theresa May and her Conservative team can get the best Brexit deal for Britain. #VoteConservative https://t.co/k1TG\\u2026',WilliamJohnjon2,6,24,0,0
Mon Jun 05 08:17:09 +0000 2017,"b'Nor am I.I would like to see the London Mosque blown up with as many Islamic shites in it.No matter what U R told,\\u2026 https://t.co/udmZkuuy2X'",PollyTony,413,619,0,0
Mon Jun 05 08:17:09 +0000 2017,b'The only positive thing I can think about Theresa May is she is tenacious at failing\\n#MakejuneTheEndofMay',kerry_ohare,878,1323,0,0
Mon Jun 05 08:17:09 +0000 2017,"b'RT @ToryFibs: 4 Arab States have today cut ties with Qatar for its ISIS links. Here is Theresa May meeting Qatar PM, Sheikh Abdul\\u2026 '",bobmidd,487,1587,0,0
Mon Jun 05 08:17:10 +0000 2017,b'RT @WarmongerHodges: The video that damns Theresa May. In a genuine democracy this would finish her off. Watch and share. #LondonAttacks\\nht\\u2026',tehard,126,114,0,0
Mon Jun 05 08:17:10 +0000 2017,b'RT @ThomasPride: BREAKING: PM Theresa May slams former Home Secretary Theresa May for weak response to terrorist threat. More soon ...',wobblybollocks,4528,3575,0,0
Mon Jun 05 08:17:10 +0000 2017,b'RT @Conservatives: RETWEET to show you\\u2019re backing Theresa May and her Conservative team on 8 June. #VoteConservative https://t.co/VevPYFNhit',ChunQingLi,936,897,0,0
Mon Jun 05 08:17:10 +0000 2017,b'RT @paulmasonnews: Anonymous firearms officer: cuts are harming anti-terror fight https://t.co/iOmurNyhHa',timeiwenttoofar,438,769,0,0
Mon Jun 05 08:17:10 +0000 2017,"b'RT @DailyMailUK: .@KTHopkins: Does Theresa May have the balls to do what\\u2019s REALLY needed and lock up 3,000 terror suspects tomorrow?\\u2026 '",michaelcroft61,32061,28530,0,0
Mon Jun 05 08:17:10 +0000 2017,"b""Video: Nigel Farage says Theresa May can't be trusted over Brexit negotiations - https://t.co/ESbSoPqMHM #GoogleAlerts""",ParisFranceNews,3523,3713,0,0
Mon Jun 05 08:17:10 +0000 2017,b'About time too! Round up all on the terror watch-list and deal with them! #London #Manchester  https://t.co/ZCy1OYmphf',snowyy2016,219,835,0,0
Mon Jun 05 08:17:10 +0000 2017,"b""RT @JimmieBCFC: The surprise will be Theresa May and Jeremy Corbyn performing you're the one that I want from grease""",JohnnyHancock1,261,369,0,0
Mon Jun 05 08:17:10 +0000 2017,b'RT @labourlewis: Theresa May urged not to suppress report into funding of jihadi groups https://t.co/qdyUvnmiVw',cathyem1,457,765,0,0
Mon Jun 05 08:17:11 +0000 2017,"b""RT @MikkiL: Corbyn supporters sell vile anti-Army propaganda branding squaddies 'murderers' https://t.co/UvbyZc8gVV""",1st_bn_glosters,1842,1857,0,0
Mon Jun 05 08:17:11 +0000 2017,"b'RT @ToryFibs: 4 Arab States have today cut ties with Qatar for its ISIS links. Here is Theresa May meeting Qatar PM, Sheikh Abdul\\u2026 '",SusanTranter3,88,55,0,0
Mon Jun 05 08:17:11 +0000 2017,b'RT @AngrySalmond: Theresa May urged not to suppress report into funding of jihadi groups... https://t.co/k6fubK8zXb',dalejosephrowe,662,1102,0,0
Mon Jun 05 08:17:11 +0000 2017,b'RT @krishgm: Former Tory Downing Street Director of Strategy says Theresa May should resign https://t.co/TTBMfo3ES3',MikeDWinter,402,685,0,0
Mon Jun 05 08:17:11 +0000 2017,"b""RT @CliveEfford: If Theresa May really means enough is enough she wouldn't have ignored warnings against 20,000 police cuts made in\\u2026 """,PSI_TimEd,141,231,0,0
Mon Jun 05 08:17:11 +0000 2017,b'RT @JamesMelville: Disgraceful hypocrisy from Theresa May. She was the Home Secretary who cut our emergency and security services. \\nhttps:/\\u2026',angelathompson5,908,1805,0,0
Mon Jun 05 08:17:11 +0000 2017,"b""RT @spectator: Watch: Culture Secretary Karen Bradley's bungled attempt to defend Theresa May over police numbers\\nhttps://t.co/mM46AL6CZl""",daisydewdrop,302,174,0,0
Mon Jun 05 08:17:11 +0000 2017,"b""RT @ToryFibs: Tory Culture Minister was sent out to defend Theresa May's cuts to policing. Listen. To. This. https://t.co/HoIrGQZvVZ""",padster1976,319,910,0,0
Mon Jun 05 08:17:12 +0000 2017,b'RT @EL4JC: MUST WATCH: Wow. You know the Police have had enough when they accuse Theresa May of outright lies. Cuts have made\\u2026 ',shaunpaul67,1375,2041,0,0
Mon Jun 05 08:17:12 +0000 2017,b'RT @mswolfeywolfe: Enough is enough? How long have Tories been in power? https://t.co/rTaqQLrBoa',amyanderson9121,168,328,0,0
Mon Jun 05 08:17:12 +0000 2017,b'RT @RichardJMurphy: The Guardian view on Theresa May\\u2019s plans on terror: they are wrong | Editorial https://t.co/6UZc8Gq0x6 I agree',RafasPeggys,351,268,0,0
