created_at,text,screen_name,followers,friends,rt,fav
'Mon Jun 05 10:04:06 +0000 2017', '"RT @liamyoung: How can Theresa May say ""things need to change"" when she\'s the person who has been in charge of our security for 7 years? Wh…"', 'HighlanderMSP', 127, 117, 0, 0
'Mon Jun 05 10:04:06 +0000 2017', '"RT @MirrorPolitics: General election 2017 live: Watch Theresa May speech as backlash grows over Tory police cuts\nhttps://t.co/zMoBWgyugP"', 'anngripper', 3680, 3766, 0, 0
'Mon Jun 05 10:04:06 +0000 2017', '"RT @SteveHiltonx: i am so sick of Theresa May blaming others for terror when the system she presided over has obviously failed so lam… "', 'billymoore100', 533, 3405, 0, 0
'Mon Jun 05 10:04:06 +0000 2017', '"RT @IHWCo: This article succinctly sums up why I can\'t support Jeremy Corbyn. He doesn\'t represent what his party used to be. https://t.co/…"', 'NeoShitPosting', 90, 700, 0, 0
'Mon Jun 05 10:04:06 +0000 2017', '"RT @CNN: British Prime Minister Theresa May says police have identified all three London attackers &amp; will release names late… "', 'karenymey', 689, 417, 0, 0
'Mon Jun 05 10:04:06 +0000 2017', '"RT @EL4JC: MUST WATCH: Labour\'s @BarryGardiner tells it straight: ""Theresa May must take responsibility for massive police and… "', 'TheLeftyLou', 1996, 2210, 0, 0
'Mon Jun 05 10:04:06 +0000 2017', '"RT @ToryFibs: For some bizarre reason Theresa May has sent her Culture Minister, Karen Bradley, out to defend her cuts to policing. It\'s no…"', 'MimiVonPeach', 541, 1150, 0, 0
'Mon Jun 05 10:04:06 +0000 2017', '"RT @andysearson: After cutting armed officers to the bone, Theresa May forced to raise numbers again. She went too far. Reckless!  https://…"', 'damianleonardi1', 322, 673, 0, 0
'Mon Jun 05 10:04:06 +0000 2017', '"With that range of seat wins (or losses) the outcome for Friday is clear as mud. #GE2017 https://t.co/6rYAQe1JMG"', 'davidmassie82', 12, 50, 0, 0
'Mon Jun 05 10:04:07 +0000 2017', '"RT @THemingford: Theresa May talks as if some other party has been in government for the past seven years. Staggeringly disrespectful and a…"', 'hrhmarkmcleanis', 196, 654, 0, 0
'Mon Jun 05 10:04:07 +0000 2017', '"RT @BringtheFlag: Contrary to what British Prime Minister Theresa May says, Islamic terrorism is NOT a perversion of Islam, it is LITERAL I…"', 'LiberalMediaSux', 12509, 13749, 0, 0
'Mon Jun 05 10:04:07 +0000 2017', '"RT @JamesMelville: Manipulative Theresa May deflects away from Saudi weapons sales and police cuts towards controlling the internet. \nhttps…"', 'IainMacInnesUHI', 349, 491, 0, 0
'Mon Jun 05 10:04:07 +0000 2017', '"RT @ruth_wishart: Easy to refute or not: just publish the Home Office\'s own report. https://t.co/1xXP3Bpkch"', 'SimonCapewell99', 2399, 467, 0, 0
'Mon Jun 05 10:04:07 +0000 2017', '"RT @Healy0027: Post #LondonBridge #LondonAttacks, who are you likely to vote for in #GE2017?"', 'Healy0027', 10, 7, 0, 0
'Mon Jun 05 10:04:07 +0000 2017', '"Please don\'t miss my piece about battle of @garethThomasMp to retain the extraordinary Harrow West seat: https://t.co/06vGMrapPT #GE2017"', 'DaveHill', 15262, 1095, 0, 0
'Mon Jun 05 10:04:07 +0000 2017', '"RT @UKIPNFKN: Donald Trump attended Sinn Féin fundraiser months before IRA attacked London via @independent\n\n#GE2017 #Trump… "', 'utterlybgroovy', 698, 1404, 0, 0
'Mon Jun 05 10:04:07 +0000 2017', '"RT @shanecroucher: Theresa May mustn\'t be allowed to spin a resources problem into a powers one. Security services have enough powers. They…"', 'muttznet', 95, 126, 0, 0
'Mon Jun 05 10:04:07 +0000 2017', '"@ExposingBBC @MailOnline https://t.co/ojcupP9Xoj well done for biased fake news reporting @bbclaurak"', 'DKHawksbridge', 50, 62, 0, 0
'Mon Jun 05 10:04:07 +0000 2017', '"RT @cinnabonbabyy: ""Theresa May is a nasty flakey racist hypocrite... It\'s @jeremycorbyn o\'clock"" 👀👀👀 https://t.co/2UjxpsIKFm"', 'cinnabonbabyy', 341, 194, 0, 0
'Mon Jun 05 10:04:08 +0000 2017', '"RT @spaceangel1964: Yes, list of #ToryNoShow is now rather long. Too afraid to face scrutiny at #HUSTINGS in #GE2017 or directive to st… "', 'rawls_heather', 396, 528, 0, 0
'Mon Jun 05 10:04:08 +0000 2017', '"RT @OwenJones84: Woah: David Cameron\'s former key advisor calls for Theresa May\'s resignation. https://t.co/jxlFOHJQQi"', 'dance_daffodil', 107, 79, 0, 0
'Mon Jun 05 10:04:08 +0000 2017', '"RT @_Ungagged: Our hardest hitting podcast yet. ""Kick Out the Tories."" The left tell you how. https://t.co/2wnxXz0xnD #ge2017 https://t.co/…"', 'deuxfurieuses', 1061, 1325, 0, 0
'Mon Jun 05 10:04:08 +0000 2017', '"RT @KCMANC: The Tories keep banging on re. Corbyn &amp; Abbott &amp; co. in the 80s. To redress the balance, here\'s Theresa May\'s \'Cure… "', 'LovelyAndyUK', 21, 93, 0, 0
'Mon Jun 05 10:04:08 +0000 2017', '"RT @paulmasonnews: Anonymous firearms officer: cuts are harming anti-terror fight https://t.co/iOmurNyhHa"', 'frederickjhayn1', 212, 501, 0, 0
'Mon Jun 05 10:04:08 +0000 2017', '"British PM Theresa May says police have identified all 3 London attackers &amp; will release their names later https://t.co/ZR7Uxbekai"', 'Missycilious', 2914, 2425, 0, 0
'Mon Jun 05 10:04:08 +0000 2017', '"RT @RsStubble: avoid at all costs - save #UK #VoteLibDem https://t.co/luBqWh5Cf8"', 'DavidBanks1957', 197, 561, 0, 0
'Mon Jun 05 10:04:08 +0000 2017', '"RT @LibDemPenguin: Six years in the Home Office and nine months as PM @theresa_may, this is all happening on your watch!   Enough was… "', 'Mickster_1', 3466, 4065, 0, 0
'Mon Jun 05 10:04:08 +0000 2017', '"RT @SarahLudford: \'Theresa May now has a choice. Does she publish that report, or keep it hidden?\' https://t.co/c1mZS2CBD8"', 'incertusagnosis', 308, 677, 0, 0
'Mon Jun 05 10:04:08 +0000 2017', '"RT @chunkymark: Theresa May is a THREAT!! https://t.co/H3gszLBv2a"', 'sonnyrackham', 340, 289, 0, 0
'Mon Jun 05 10:04:08 +0000 2017', '"RT @weedroid: theresa may wants to block github. Github. Aye that\'ll fucking fix terrorism, source control is the problem https://t.co/Fzkk…"', 'antouanK', 1335, 1938, 0, 0
'Mon Jun 05 10:04:08 +0000 2017', '"RT @A_Liberty_Rebel: ""I followed my principles in not opposing anti-British terrorism for 30+ years, but I\'ll change them 4 days before… "', 'annykingston7', 10558, 10566, 0, 0
'Mon Jun 05 10:04:09 +0000 2017', '"RT @cnnbrk: British PM Theresa May says police have identified all 3 London attackers &amp; will release their names later https://t.co/9rdrzSn…"', 'PeterBa82304711', 369, 336, 0, 0
'Mon Jun 05 10:04:09 +0000 2017', '"@CNN I commend London England! They really know how to take charge.They took action so fast and had ppl apprehended… https://t.co/yxCL2ETPS6"', 'Tough2Shake', 10, 8, 0, 0
'Mon Jun 05 10:04:09 +0000 2017', '"RT @paulmasonnews: Steve Hilton calls for @theresa_may to resign. He was Cameron\'s director of strategy and is a Brexit supporter. https://…"', 'juantootutu', 117, 554, 0, 0
'Mon Jun 05 10:04:09 +0000 2017', '"If tories can\'t defend their record, they certainly can\'t defend the country #VoteLabour #JC4PM #forthemanynotthefew https://t.co/K1JyXSegjT"', 'iandavidjones21', 928, 1277, 0, 0
'Mon Jun 05 10:04:09 +0000 2017', '"RT @SteveHiltonx: Theresa May blame-shifting again. her spin doctors attack MI5, but she was in charge of them for years... https://t.co/nl…"', 'billymoore100', 533, 3405, 0, 0
'Mon Jun 05 10:04:09 +0000 2017', '"RT @ThomasPride: BREAKING: PM Theresa May slams former Home Secretary Theresa May for weak response to terrorist threat. More soon ..."', 'BanNormality', 85, 290, 0, 0
'Mon Jun 05 10:04:09 +0000 2017', '"Tories will lose out on majority by 21 seats, latest YouGov results find https://t.co/hm97wijcgB"', 'AcemTem', 22555, 22184, 0, 0
'Mon Jun 05 10:04:09 +0000 2017', '"RT @marcuschown: One thing\'s for sure. There will not be single Tory voter the Tories fail to get out to vote. To be rid of them, EVERYONE…"', 'junemoore58', 166, 111, 0, 0
'Mon Jun 05 10:04:10 +0000 2017', '"RT @DavidJo52951945: Theresa May wants to regulate to internet to stop terrorism- how about regulating mosques,borders,immigration?? https:…"', 'Gingerninja1369', 456, 879, 0, 0
'Mon Jun 05 10:04:10 +0000 2017', '"Get ready to cringe. Painful and pathetic response by Karen Bradley in defending Theresa May\'s savage cuts to our p… https://t.co/SBlNG4T6iu"', 'ChillTheThrill1', 60, 62, 0, 0
'Mon Jun 05 10:04:10 +0000 2017', '"cnnbrk: British PM Theresa May says police have identified all 3 London attackers &amp; will release their names later https://t.co/AQNox8Yoc8"', 'Bis_Sandeep', 239, 215, 0, 0
'Mon Jun 05 10:04:10 +0000 2017', '"RT @Harryslaststand: On June 8th Britain\'s youth must rise up and be the tide that raises all boats by sending the Tories packing https://t…"', 'SIRKINGKEV', 1848, 4045, 0, 0
'Mon Jun 05 10:04:10 +0000 2017', '"Every vote for the #Conservatives means another nail in OUR #NHS\'s coffin #GE2017"', 'kursaal_returns', 346, 324, 0, 0
'Mon Jun 05 10:04:10 +0000 2017', '"RT @beichenberger2: Being disabled can happen to anyone at anytime. Their appalling treatment by the Tories concerns us all https://t.co/0l…"', 'JohnEJefferson', 8372, 9009, 0, 0
'Mon Jun 05 10:04:10 +0000 2017', '"RT @Bonn1eGreer: The one thing #GE2017 has exposed:\nthe @Conservatives have been playing the British people.\n#KarenBradley \n#r4today\nhttps:…"', 'Nexusdog_UK', 956, 1264, 0, 0
'Mon Jun 05 10:04:10 +0000 2017', '"RT @PrisonPlanet: Theresa May thinks terror can be stopped by regulating the Internet.\n\nMentions NOTHING about border control.\n\nPathetic."', 'Fnnyfer', 6054, 4484, 0, 0
'Mon Jun 05 10:04:10 +0000 2017', '"Holy shit! Piers going for the jugular on the PM! https://t.co/OsmLvj0Qrm"', 'RyanHutcheon2', 147, 301, 0, 0
'Mon Jun 05 10:04:10 +0000 2017', '"RT @ThomasPride: Disgusting. Theresa May blamed extremism ""across the public sector"" for terrorism? That would be the police, army, paramed…"', 'keef', 387, 942, 0, 0
'Mon Jun 05 10:04:10 +0000 2017', '"Cameron\'s former strategy chief tells PM to quit over terror failures https://t.co/pItoibcHL4"', 'maxmcevoy', 2585, 2951, 0, 0
'Mon Jun 05 10:04:11 +0000 2017', '"RT @jannycat: #Women of #Weston #northsomerset Tories have increased women\'s pension age twice! The largest EVER increase to SPA… "', 'boutiqueheather', 562, 238, 0, 0
'Mon Jun 05 10:04:11 +0000 2017', '"RT @BarryGardiner: Sometimes the words we use come back to haunt us. https://t.co/kEOsSaWV0Q"', 'fjbeecher', 1341, 1388, 0, 0
'Mon Jun 05 10:04:10 +0000 2017', '"UK Election: Theresa May goes north of the border to woo Scottish\xa0voters https://t.co/ZoTuTJQ5hO https://t.co/knL9dVXaTP"', 'NewsExploredWeb', 1029, 894, 0, 0
'Mon Jun 05 10:04:11 +0000 2017', '"RT @DavidJo52951945: Theresa May wants to regulate to internet to stop terrorism- how about regulating mosques,borders,immigration?? https:…"', 'DebDeplorable', 231, 388, 0, 0
'Mon Jun 05 10:04:11 +0000 2017', '"RT @SteveHiltonx: i am so sick of Theresa May blaming others for terror when the system she presided over has obviously failed so lam… "', 'ericfirthno1', 445, 534, 0, 0
'Mon Jun 05 10:04:11 +0000 2017', '"#gamedev #indiedev British Prime Minister Theresa May says police have identified all three London attackers &amp; wil… https://t.co/5aIQwCSKQt"', 'bestermcbest', 319, 472, 0, 0
'Mon Jun 05 10:04:11 +0000 2017', '"RT @ThomasPride: BREAKING: PM Theresa May slams former Home Secretary Theresa May for weak response to terrorist threat. More soon ..."', 'Mousehole1', 2174, 3290, 0, 0
'Mon Jun 05 10:04:11 +0000 2017', '"RT @toon_lad99: When police,doctors &amp; nurses, teachers, military &amp; more are telling you Tories are lying to you. Who do you believe?\nhttps:…"', 'EdenGreg', 364, 537, 0, 0
'Mon Jun 05 10:04:11 +0000 2017', '"RT @Johnwason_indy: This the evidence that shows\n@theSNP MP\'s \nKnow the score!\n#VoteSNP #GE2017 https://t.co/pKsyG2tbzm"', 'IsThisAB0t', 2277, 1271, 0, 0
'Mon Jun 05 10:04:11 +0000 2017', '"RT @shanecroucher: Theresa May mustn\'t be allowed to spin a resources problem into a powers one. Security services have enough powers. They…"', 'LordFluffon', 245, 427, 0, 0
'Mon Jun 05 10:04:11 +0000 2017', '"RT @SteveHiltonx: Theresa May responsible for security failures of London Bridge, Manchester, Westminster Bridge. Should be resigning… "', 'BethanyEAnthony', 24, 122, 0, 0
'Mon Jun 05 10:04:11 +0000 2017', '"RT @DanielleRyanJ: Pity she\'s wrong about so much else, though...like selling weapons to the Saudis and supporting regime change. https://t…"', 'RJ_Cal', 345, 729, 0, 0
'Mon Jun 05 10:04:12 +0000 2017', '"Make your plan to vote today. Your vote decides who will be PM &amp; lead our Brexit negotiations-Theresa May or Corby… https://t.co/nr5iSm6idr"', 'eriththamesmead', 30, 6, 0, 0
'Mon Jun 05 10:04:12 +0000 2017', '"Theresa May must resign over \'security failures\' that led 2 recent terror attacks, says Cameron\'s former policy guru https://t.co/knOCJUduEH"', 'June4th', 4695, 2826, 0, 0
'Mon Jun 05 10:04:12 +0000 2017', '"RT @nisanashim: @womensmarchlon Thank you for your support! It\'s been an incredibly sad and scary weekend but we must keep going. #GE2017 #…"', 'entwistletx', 9285, 9305, 0, 0
'Mon Jun 05 10:04:12 +0000 2017', '"When lid lifted on our alliances, the phrase ""too much toleration of extremists"" may come back to bite its author. https://t.co/POus1kbUIK"', 'FromSteveHowell', 3697, 2074, 0, 0
'Mon Jun 05 10:04:12 +0000 2017', '"RT @mrsn_34: @Conservatives If Theresa May can\'t handle a  live debate then how will she handle brexit negotiations? 🤔"', 'adem_bademci', 159, 1910, 0, 0
'Mon Jun 05 10:04:12 +0000 2017', '"RT @DavidJo52951945: Nigel Farage hints he could return as Ukip leader \'if Brexit is not delievered\'. Come back Nigel the UK needs you http…"', 'Dr_Nahil', 1068, 2507, 0, 0
'Mon Jun 05 10:04:13 +0000 2017', '"RT @RupertMyers: Jeremy Corbyn opposed sanctions on North Korea, a state that he did not consider to be ""rogue"" https://t.co/TQLVa1Qae9"', 'clivewilcock', 218, 411, 0, 0
'Mon Jun 05 10:04:13 +0000 2017', '"RT @BigGucci_Idz: 3 attacks in 4 months, thank you Theresa May for protecting us. Top lass https://t.co/Edp7ZxYcX8"', 'floeyimogen', 1192, 185, 0, 0
'Mon Jun 05 10:04:13 +0000 2017', '"RT @demindblower: Four-day week for pupils if Theresa May is elected, warns headteacher - we need a government, who respects our kids… "', 'eric_stoly', 473, 95, 0, 0
'Mon Jun 05 10:04:13 +0000 2017', '"RT @Rachael_Swindon: Theresa May, Amber Rudd and now Karen Bradley refuse to rule out more police cuts. It\'s thought we could lose anoth… "', 'pamatluing', 3244, 4022, 0, 0
'Mon Jun 05 10:04:13 +0000 2017', '"RT @SteveHiltonx: Theresa May responsible for security failures of London Bridge, Manchester, Westminster Bridge. Should be resigning… "', 'ErebusMC', 58, 197, 0, 0
'Mon Jun 05 10:04:13 +0000 2017', '"RT @AaronBastani: Theresa May is finished. @BorisJohnson could replace her. And she\'s worried about Corbyn embarrassing the UK? https://t.c…"', 'iverlean', 414, 139, 0, 0
'Mon Jun 05 10:04:13 +0000 2017', '"RT @Bonn1eGreer: The one thing #GE2017 has exposed:\nthe @Conservatives have been playing the British people.\n#KarenBradley \n#r4today\nhttps:…"', 'ian_ibbotson', 59, 471, 0, 0
'Mon Jun 05 10:04:13 +0000 2017', '"RT @DancingTheMind: Theresa May thinks NHS Doctors are militants\nTeachers are trouble \nNurses talk nonsense\n&amp;Policemen \'cried wolf\'\nWhat do…"', 'StuMcMullen', 34, 106, 0, 0
'Mon Jun 05 10:04:13 +0000 2017', '"RT @LutineBelle: So will Nicola Sturgeon &amp; at top of her list will be a fresh independence ref. Don\'t risk a Corbyn coalition. Vote… "', '67TWCowan', 95, 36, 0, 0
'Mon Jun 05 10:04:14 +0000 2017', '"@MichaelRosenYes Worked out why Theresa May always has a chain round her neck. ""I wear the chain I forged in life!… https://t.co/qTpGxhtq4W"', '2hrTV', 110, 492, 0, 0
'Mon Jun 05 10:04:14 +0000 2017', '"RT @StirringTrouble: Time for Theresa May to warn everyone against the dangers of Islamophobia, in the spirit of strong and stable leadersh…"', 'WilliamYesman14', 475, 903, 0, 0
'Mon Jun 05 10:04:14 +0000 2017', '"RT @ThomasPride: BREAKING: PM Theresa May slams former Home Secretary Theresa May for weak response to terrorist threat. More soon ..."', 'shaunmgates', 136, 429, 0, 0
'Mon Jun 05 10:04:14 +0000 2017', '"RT @Telegraph: Revealed: Jeremy Corbyn called for Hamas to be removed from banned terror list #Premium https://t.co/Y4ZlKSrMnc"', 'CataNigra', 3773, 3628, 0, 0
'Mon Jun 05 10:04:14 +0000 2017', '"RT @EL4JC: MUST WATCH: Labour\'s @BarryGardiner tells it straight: ""Theresa May must take responsibility for massive police and… "', 'danmchallum', 234, 670, 0, 0
'Mon Jun 05 10:04:14 +0000 2017', '"RT @55krissi55: Former Tory Advisor suggests Theresa May is responsible4Terror Attacks&amp;should resign https://t.co/EwbUTx93SY\n#mondaymotivat…"', 'JamesHolah', 929, 1763, 0, 0
'Mon Jun 05 10:04:15 +0000 2017', '"RT @KieranHarris7: ""would you kill 100,000 innocent men, women and children?""\n\nTheresa May ""YES""\n\nShe\'s actually a full blown dickhead \nhtt…"', 'SilasBijan', 1016, 110, 0, 0
'Mon Jun 05 10:04:15 +0000 2017', '"@markswife Theresa May was home sec 2010-2016, number of police slashed on her watch, some people see her as a safe bet. Mind boggling"', 'davidtattwood', 104, 380, 0, 0
'Mon Jun 05 10:04:14 +0000 2017', '"RT @SteveHiltonx: Theresa May responsible for security failures of London Bridge, Manchester, Westminster Bridge. Should be resigning… "', 'daeneyah', 379, 170, 0, 0
'Mon Jun 05 10:04:15 +0000 2017', '"RT @WriterInPyjamas: Only just reading today\'s papers. Theresa May: ""too much tolerance of extremism."" She\'s totally lost it.\n\nJune 8th can…"', 'nitawhite1', 585, 426, 0, 0
'Mon Jun 05 10:04:14 +0000 2017', '"Nice try Theresa May, not this time. Even if I could vote it would be labour all the way. Go Jeremy x @jeremycorbyn https://t.co/FKSl8I30qH"', 'abbygrantx', 570, 610, 0, 0
'Mon Jun 05 10:04:15 +0000 2017', '"Well worth a read, from @doctorow - why banning cryptography won\'t work, and isn\'t the answer #crypto #security https://t.co/XgyMo2gPQj"', 'ChrisKeenTV', 508, 693, 0, 0
