created_at,text,screen_name,followers,friends,rt,fav
'Mon Jun 12 12:02:05 +0000 2017', '"RT @NameChangeGirl: @MrAlan_O Exactly same. Tensions increasing at an alarming pace. Tories selfish &amp; desperate power grab putting live… "', 'MariHugme', 310, 696, 0, 0
'Mon Jun 12 12:02:05 +0000 2017', '"RT @davidschneider: This is agony to watch. It’s like the scene in A.I. where the robot boy tries to eat food and slowly malfunctions.\nhttp…"', 'JackMartin04', 169, 199, 0, 0
'Mon Jun 12 12:02:05 +0000 2017', '"RT @AaronBastani: I was confident Labour would win thumping majority next time but now Tom Watson has intervened! https://t.co/ai9hN11vYZ"', 'ZRhazes', 1508, 5001, 0, 0
'Mon Jun 12 12:02:05 +0000 2017', '"RT @Rachael_Swindon: If Jeremy Corbyn was now Prime Minister the rights of EU citizens in Britain would be guaranteed."', 'jenhewitt4', 171, 184, 0, 0
'Mon Jun 12 12:02:05 +0000 2017', '"RT @NaturallyTiss: I really really REALLY wish Theresa May was a decent Prime Minister good lord I do"', 'SliqSinistah', 643, 689, 0, 0
'Mon Jun 12 12:02:05 +0000 2017', '"RT @InFactsOrg: Hung parliament should end Tory claim that #Brexit policy is their gift alone. Time for consensus.\nhttps://t.co/uKORDcSIgd"', 'les_couilles', 32, 75, 0, 0
'Mon Jun 12 12:02:05 +0000 2017', '"@PetercjacksonPj @TimHarford YouGov model shows 30% of Tory Remainers 25-44 defected. If true, hugely significant t… https://t.co/w4KJcZgiTP"', 'LauraSRobinson', 1312, 1593, 0, 0
'Mon Jun 12 12:02:05 +0000 2017', '"@Number10cat\nWhy would you admit that? Youre painting a target on you back, and dont think those Tories wont take revenge."', 'LordGroundhog', 163, 131, 0, 0
'Mon Jun 12 12:02:05 +0000 2017', '"RT @JessPals: Yay! We dont want you here, #Trump https://t.co/vJZIehlOVr"', 'GillianGn', 1531, 2182, 0, 0
'Mon Jun 12 12:02:05 +0000 2017', '"RT @racybearhold: Now a delayed Queens Speech because of the Tory and DUP coalition of chaos?! Theresa May is as much use as a perforated…"', 'The_Muher', 947, 2146, 0, 0
'Mon Jun 12 12:02:05 +0000 2017', '"Great that someone not affected by Tory policies in the least can offer sympathy eh? https://t.co/ZBnkbHjyPm"', '1916Abu', 351, 491, 0, 0
'Mon Jun 12 12:02:05 +0000 2017', '"Under #Tory-led gov. real spending on #publicservices has fallen by 10%... the longest &amp; biggest fall on record. https://t.co/RqpBniXHck"', 'gary_pass', 116, 321, 0, 0
'Mon Jun 12 12:02:05 +0000 2017', '"RT @OwenJones84: Under Theresa May as Home Secretary, LGBT refugees had to film themselves having sex to prove they were LGBT. https://t.…"', 'cookielicker12', 185, 705, 0, 0
'Mon Jun 12 12:02:05 +0000 2017', '"RT @Robert___Harris: Michael Gove on Theresa May: “I think she’s doing a fantastic job.” Shafts of exquisite comedy pierce the gloom https:…"', 'piciniscoceltic', 291, 758, 0, 0
