created_at,text,screen_name,followers,friends,rt,fav
'Mon Jun 12 12:05:05 +0000 2017', '"@DPJHodges Its far less of a concern after Thurs. Didnt stand on blocking Brexit. Tories caused it and now have t… https://t.co/0RmA7mw1B1"', 'paulsevern7', 614, 824, 0, 0
'Mon Jun 12 12:05:05 +0000 2017', '"RT @warrismyown: Whoever is doing the social media ting for Jeremy Corbyn needs a bottle of wine rly, very fast and up to date"', 'reflektorrr', 1085, 1010, 0, 0
'Mon Jun 12 12:05:06 +0000 2017', '"RT @AlanDersh: Why did Bernie Sanders campaign for the British anti-semite Jeremy Corbyn? My latest for @GatestoneInst https://t.co/N4O7lmN…"', 'HarrietBaldwin', 20016, 3415, 0, 0
'Mon Jun 12 12:05:05 +0000 2017', '"RT @davidallengreen: My thread on Theresa May being the Brexiteers biggest problem all along. https://t.co/j8AJN7IOkj"', 'hazelglasgow', 3957, 1739, 0, 0
'Mon Jun 12 12:05:06 +0000 2017', '"RT @RufusHound: I think no-one else is prepared to be covered in as much shit as Jeremy Hunt already is, carrying out Tory plan to… "', 'CaroleSolazzo', 1082, 898, 0, 0
'Mon Jun 12 12:05:06 +0000 2017', '"RT @MarkSkoda: Hypocrite Jeremy Corbyn says he Welcomes the Cancellation of President Trumps Visit to UK. #LondonHasFallen https://t.co/…"', 'yb_st3ezy', 378, 140, 0, 0
'Mon Jun 12 12:05:06 +0000 2017', '"RT @Hepworthclare: Queens Speech *postponed*\nTory Manifesto *shredded*\nNobody has CLUE about what is going on !\nBut HEY - DUP will bail yo…"', 'AyrshireSpeaker', 1978, 1329, 0, 0
'Mon Jun 12 12:05:06 +0000 2017', '"#stealthy #GE2017 this must be my 6th or 7th General Election. Certainly the first time Ive ever voted in one! https://t.co/9xIjWDhJqv"', 'markoedwards', 68, 266, 0, 0
'Mon Jun 12 12:05:06 +0000 2017', '"RT @SocialistVoice: Jeremy Corbyn stands on the threshold of Downing Street after changing politics forever, says John Prescott #GE2017 htt…"', 'AlisonC26014390', 83, 202, 0, 0
'Mon Jun 12 12:05:06 +0000 2017', '"@freeradionews hi, whats your source of information on there being a soft brexit? As both labour and conservative campaigns backed.."', 'rnorth43', 1222, 1880, 0, 0
'Mon Jun 12 12:05:06 +0000 2017', '"RT @OwenJones84: Under Theresa May as Home Secretary, LGBT refugees had to film themselves having sex to prove they were LGBT. https://t.…"', 'trudiemc', 2006, 2539, 0, 0
'Mon Jun 12 12:05:06 +0000 2017', '"Over 20 new MPs with connections to the charity sector  \nhttps://t.co/Cd0yEr9d72\n#GE2017 #Charity #MPs"', 'CharityExperts', 110, 181, 0, 0
'Mon Jun 12 12:05:06 +0000 2017', '"RT @meaglemp: So much for getting straight down to work... https://t.co/SnkBt9PoPx"', 'lanai32', 76, 184, 0, 0
'Mon Jun 12 12:05:06 +0000 2017', '"@andrew_graeme @alexmassie There is also voter fatigue, Tartan Tories going back to actual Tories &amp; some who had ge… https://t.co/KmZDDovolj"', 'guy_ingerson', 781, 512, 0, 0
'Mon Jun 12 12:05:07 +0000 2017', '"Dont let the shockwaves from the #GE2017 result unbalance your finances: 4 tactics to keep your portfolio on track https://t.co/UxD3hvwwmu"', 'ns_wm', 1713, 665, 0, 0
'Mon Jun 12 12:05:07 +0000 2017', '"At today’s National Policy Workshop in Ghana,the Mining Policy will be reviewed to include child labour provisions #WDACL2017 #NOChildLabour"', 'DennisZuluILO', 206, 130, 0, 0
'Mon Jun 12 12:05:07 +0000 2017', '"RT @scandifriend: @APHClarkson And I still cant afford a place. Ive heard the same story again and again. What do the Tories offer me? No…"', 'APHClarkson', 8853, 785, 0, 0
'Mon Jun 12 12:05:07 +0000 2017', '"RT @mrchrisaddison: Theresa May is the political equivalent of the hotel guest not picking up the call from reception telling them checkout…"', 'Hrryh_', 96, 889, 0, 0
'Mon Jun 12 12:05:07 +0000 2017', '"RT @CarolineLucas: Beggars belief. One look at Gove’s voting record shows him unfit for this job: https://t.co/IIzaJRek8I https://t.co/TzIx…"', 'kfmorel', 874, 965, 0, 0
'Mon Jun 12 12:05:07 +0000 2017', '"REPORT: Meddling EU Urged Theresa May to Hold Snap Election in Hopes to Derail Brexit https://t.co/OVMDIUciVw"', 'vnuek', 12176, 10068, 0, 0
'Mon Jun 12 12:05:07 +0000 2017', '"What are the economic forces polarising the UK? Now #Ge2017 is over,@henryoverman urges us to keep asking this Q: https://t.co/qSohfswwxt"', 'whatworksgrowth', 2183, 939, 0, 0
'Mon Jun 12 12:05:07 +0000 2017', '"RT @AaronBastani: Im loving the montage of images here. Clive is brilliant. https://t.co/V41e9HtHVG"', 'cookielicker12', 185, 705, 0, 0
'Mon Jun 12 12:05:07 +0000 2017', '"If the Tory/DUP deal does anything I hope its shed light on the lack of rights and respect Irish people still endure under British rule"', 'massie_lewis', 362, 514, 0, 0
'Mon Jun 12 12:05:07 +0000 2017', '"RT @MarkSkoda: Hypocrite Jeremy Corbyn says he Welcomes the Cancellation of President Trumps Visit to UK. #LondonHasFallen https://t.co/…"', 'ajplesim', 242, 80, 0, 0
'Mon Jun 12 12:05:08 +0000 2017', '"RT @OwenJones84: Tories doubling down on contempt for the young will 100% turn their political fortunes around https://t.co/4ZIOWZYFIC"', 'KristosScarr', 20, 109, 0, 0
'Mon Jun 12 12:05:08 +0000 2017', '"RT @jeremycorbyn: Hard-won LGBT rights must not be sold out by @Theresa_May and the Tories as they try to cling to power with the DUP. http…"', 'cridheone', 12792, 6621, 0, 0
'Mon Jun 12 12:05:08 +0000 2017', '"@BCFCMattyH @rowans55 @SkyNews Labour can get in if they work with the correct parties, plus he would do the job 100X better"', 'MatthewW191', 1222, 1545, 0, 0
'Mon Jun 12 12:05:08 +0000 2017', '"RT @EL4JC: Jeremy Corbyn: Man of the Year. #Marr https://t.co/rV27q3frfV"', 'mendesfthoran_', 6635, 1048, 0, 0
'Mon Jun 12 12:05:08 +0000 2017', '"RT @JamieMeWrites: If Theresa May cant make the Queens Speech I know a guy wholl step in short notice. https://t.co/gdHYzKXJID"', 'johnbud86', 2078, 2137, 0, 0
'Mon Jun 12 12:05:08 +0000 2017', '"RT @newsthump: NEWS! Theresa May appeases DUP’s climate change deniers by handing environment to incompetent bellend… "', 'iSayHelloYou', 48, 195, 0, 0
'Mon Jun 12 12:05:08 +0000 2017', '"Why the Tories are terrified of another General Election https://t.co/rRGPfF5KEk"', 'edwards1448', 12, 54, 0, 0
'Mon Jun 12 12:05:08 +0000 2017', '"Chaotic Tories are making the UK in to a laughing stock. https://t.co/Qo4IO5l40j"', 'McVinoFC', 176, 201, 0, 0
'Mon Jun 12 12:05:08 +0000 2017', '"RT @Paul1Singh: There is no such thing as a jobs first Brexit - 3.4 million jobs rely directly on Single Market membership.… "', 'TimJonesStaffs', 382, 98, 0, 0
'Mon Jun 12 12:05:08 +0000 2017', '"RT @MissEllieMae: Of all of the bad takes on the election, Labour would have won if it was led by a centrist in a suit is probably my fav…"', 'jentoo44', 157, 136, 0, 0
'Mon Jun 12 12:05:08 +0000 2017', '"RT @RobDotHutton: Yes, Labour and Conservatives, you got more votes than [name a leader in a previous election]. THERE ARE MORE PEOPLE NOW."', 'Lisa_Forsyth1', 402, 1195, 0, 0
'Mon Jun 12 12:05:08 +0000 2017', '"I had heard that Theresa May was a prisoner in Downing St of the 1922 committee, but to chain her up by her neck!… https://t.co/saQD0LFkMr"', 'Antony_Wright', 219, 289, 0, 0
'Mon Jun 12 12:05:08 +0000 2017', '"RT @MichaelLCrick: Tom Watson has written to Theresa May asking whether Rupert Murdoch ever suggested to you Michael Gove should be given…"', 'Emstodart', 267, 1463, 0, 0
'Mon Jun 12 12:05:09 +0000 2017', '"RT @lucyybarnes: risky activities help you in later life\ntheresa may:\n\n#aqaenglish https://t.co/sVgOa7bBht"', 'dilllarge', 671, 3829, 0, 0
'Mon Jun 12 12:05:08 +0000 2017', '"RT @Coo1_Daddy: @lesvcampbell @UKLabour https://t.co/fUaxTvRsqh Correct. Why should the UK support Apartheid Israel ?"', 'lesvcampbell', 643, 672, 0, 0
'Mon Jun 12 12:05:09 +0000 2017', '"RT @cllrjoeporter: My @guardian piece about #GE2017 result &amp; why @Conservatives need a new youth wing &amp; engage more with young people… "', 'C4NewsKate', 1420, 1647, 0, 0
'Mon Jun 12 12:05:09 +0000 2017', '"RT @tradasro: Moray BREXITEERS will be scratching their heads now...the Tories are backstabbing you already. Free movement of trawlers. #Sc…"', 'clarknat', 2882, 2872, 0, 0
'Mon Jun 12 12:05:09 +0000 2017', '"@chrishallworth True but the Labour QS would have the optics effect of showing they have a plan/are united/just wai… https://t.co/L5vjCNEkzb"', 'bartleyrock', 379, 374, 0, 0
'Mon Jun 12 12:05:09 +0000 2017', '"RT @MrMalky: We have to ask:\nChild Cap\nSanctions\nRape Clause\nDementia Tax\nPension lock removed\nAll open goals\nAnd still people voted Tory?"', 'PauloconnorMBE', 390, 727, 0, 0
'Mon Jun 12 12:05:09 +0000 2017', '"RT @AndrewRileyrm: Much Labour support will decline if it aims to take us out of single-market &amp; customs union @DavidEDrew @Glostays. https…"', 'lesley_62974', 757, 652, 0, 0
'Mon Jun 12 12:05:09 +0000 2017', '"Suspect? Remainers of all ages voted Labour to kick out Tories, not to get hard Brexit! https://t.co/QZxTD6Um7P"', 'EleanorScott1', 610, 1159, 0, 0
'Mon Jun 12 12:05:09 +0000 2017', '"RT @RichardBurgon: Chaos and instability authored by Theresa May and the Conservatives. Time to go! https://t.co/HOtEkbl4Og"', 'Pacino10000', 31, 40, 0, 0
'Mon Jun 12 12:05:09 +0000 2017', '"RT @toryboypierce: Emily Thornberry, asked if having 56 fewer seats than the Tories meant Labour lost, replied: I dont think  we did."', 'leslieappleyard', 380, 169, 0, 0
'Mon Jun 12 12:05:09 +0000 2017', '"@MartinTheJag Were Scottish Labour to emerge as the most promising route to the achievement of a socialist policy a… https://t.co/6PqtL6V0QO"', 'Dr_S_Davidson', 302, 291, 0, 0
'Mon Jun 12 12:05:09 +0000 2017', '"RT @WeNeedEU: Yes - dont get complacent, @jeremycorbyn. We were voting to stop Brexit, not necessarily for you. And certainly no… "', 'AJH051', 32, 346, 0, 0
'Mon Jun 12 12:05:09 +0000 2017', '"Comment: I grew up in a safe DUP seat – UK is in for a shock #GE2017 \nhttps://t.co/m2pQ6VsBNu https://t.co/dMPAet1dGT"', 'TheScotsman', 130087, 1905, 0, 0
'Mon Jun 12 12:05:09 +0000 2017', '"Maybe they have had to delay the #QueensSpeech so there is enough time to swear in all of the new #Labour MPs. #GE2017 🔥🔥🔥🔥"', 'wolfmanbass', 185, 765, 0, 0
'Mon Jun 12 12:05:09 +0000 2017', '"RT @jeremycorbyn: 30 years ago today Diane Abbott became an MP. As the first black woman MP she continues to inspire &amp; represent the… "', 'wfb4n1', 74, 2317, 0, 0
'Mon Jun 12 12:05:09 +0000 2017', '"RT @LipskisGhost: @racybearhold If Labour was doing this there would be calls for a military coup"', 'StarSparkle_UK', 5646, 5024, 0, 0
'Mon Jun 12 12:05:10 +0000 2017', '"RT @Number10cat: Michael Gove is in the building. \nThis is not a drill!\nTheresa May has gone full sod them on the electorate.\n#reshuffle…"', 'homewiththecats', 13, 41, 0, 0
'Mon Jun 12 12:05:10 +0000 2017', '"RT @MarkSkoda: Hypocrite Jeremy Corbyn says he Welcomes the Cancellation of President Trumps Visit to UK. #LondonHasFallen https://t.co/…"', 'cosgroveangei', 383, 135, 0, 0
'Mon Jun 12 12:05:10 +0000 2017', '"RT @tom_watson: I hope all Labour members celebrate the enthusiasm of young voters who shaped this election. Despite Tory chaos the future…"', 'vivelecommonlaw', 1064, 1908, 0, 0
'Mon Jun 12 12:05:10 +0000 2017', '"RT @adampayne26: things are back to normal in Labour then https://t.co/MrDLvIKh1I"', 'willieckerslike', 116, 54, 0, 0
'Mon Jun 12 12:05:10 +0000 2017', '"RT @estwebber: Gerry Adams: We dont think any deal between the DUP and Tories is good for people here"', 'nscoll', 126, 638, 0, 0
'Mon Jun 12 12:05:10 +0000 2017', '"Who has the power to stop this tory mess? The Queen, MPs, the public?"', 'scotslassnow', 1780, 2179, 0, 0
'Mon Jun 12 12:05:10 +0000 2017', '"‣ Sometimes Our Nightmares Don’t Come True: the... | When Theresa May called a snap... | https://t.co/SXUQyKQDPR | @NatCounterPunch"', 'KamalShaqi', 1056, 762, 0, 0
'Mon Jun 12 12:05:10 +0000 2017', '"RT @OwenJones84: Under Theresa May as Home Secretary, LGBT refugees had to film themselves having sex to prove they were LGBT. https://t.…"', 'lameirasb', 270, 508, 0, 0
'Mon Jun 12 12:05:10 +0000 2017', '"RT @Rachael_Swindon: Jeremy Hunt will be staying on as health secretary, just incase you needed confirmation of what Theresa May thinks of…"', 'David96212152', 8, 71, 0, 0
