botornot,Dotcount,Commacount,Exclcount,Wordcount,Uppercasecount,Lowercasecount,Specialchar,Numbercount,Charcount,Uniquewords,Apicescount,Quotescount,Openpar,Closepar,Operatorcount,Hashtagcount,Dottycount,Linkcount
0,3.0,1.0,0.0,17.0,9.0,81.0,12.0,1.0,107.0,17.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0
0,2.0,0.0,0.0,18.0,4.0,79.0,8.0,1.0,96.0,18.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0
0,1.0,0.0,0.0,8.0,2.0,40.0,7.0,2.0,51.0,8.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0
0,1.0,0.0,0.0,4.0,8.0,23.0,7.0,1.0,39.0,4.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0
0,1.0,0.0,0.0,4.0,5.0,21.0,7.0,0.0,33.0,4.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0
0,2.0,0.0,0.0,16.0,11.0,82.0,14.0,4.0,111.0,16.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,2.0
0,2.0,0.0,0.0,17.0,3.0,96.0,10.0,2.0,115.0,17.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0
0,1.0,0.0,0.0,3.0,3.0,22.0,7.0,3.0,35.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0
0,1.0,1.0,0.0,20.0,2.0,90.0,7.0,0.0,104.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3.0,0.0,0.0,16.0,10.0,76.0,13.0,1.0,107.0,16.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0
0,3.0,0.0,0.0,16.0,10.0,76.0,13.0,1.0,107.0,16.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0
0,1.0,1.0,0.0,16.0,8.0,75.0,10.0,3.0,102.0,16.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0
0,3.0,0.0,0.0,22.0,3.0,100.0,9.0,2.0,117.0,22.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
0,2.0,0.0,0.0,20.0,6.0,97.0,13.0,1.0,121.0,20.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0
0,2.0,0.0,4.0,14.0,14.0,61.0,20.0,1.0,102.0,14.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0
0,1.0,1.0,1.0,21.0,4.0,102.0,9.0,2.0,121.0,21.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.0,1.0,0.0,22.0,4.0,83.0,6.0,0.0,97.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2.0,0.0,0.0,20.0,2.0,100.0,7.0,0.0,116.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3.0,0.0,0.0,16.0,11.0,90.0,13.0,2.0,122.0,16.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0
