,id,text,botornot
10058,2840378924,"""BREAKING Watch Labour leader Jeremy Corbyn send Glastonbury festival wild with speech https://t.co/3okicU0Wxh https://t.co/FNaR7Qu6QI""",1
4405,20004497,"""RT @patspetition: Tories will press ahead with cruel benefits freeze despite soaring inflation https://t.co/ygjzZ67oHd""",1
1897,141229257,"""RT @mrmarksteel: In the interests of balance, I think its only fair for the Tories to start singing oh Andrea Leadsom everywhere, and se…""",1
13561,337291312,"""RT @AJohnColes: I get sick &amp; tired of Tories blaming all the nations ills on the least able, while their friends owe some £90-120B in tax d…""",1
20527,749657379688607744,"""# Tory Burch Pink and Black Polka Dot Caroline Ballet Flat Sz 10 Discontinued Rare https://t.co/pF4eQiYZ9X https://t.co/Jqxs91H9zF""",1
12233,3238466091,"""RT @adambanksdotcom: I dont believe Jeremy Corbyn was against us. Being against war is probably the best thing you can do for soldiers h…""",1
14109,347810094,"""RT @Corbyn_Power: @jeremycorbyn Jeremy Corbyn signing off at #Glastonbury\n#JeremyCorbyn #Glastonbury2017 #corbynatglastonbury\nhttps://t.co/…""",1
22738,835886929786847232,"""RT @Alconcalcia: Have you seen daft as a brush Tory Andrea Leadsoms flash new job title? Lord President of the Council and Leader of the…""",1
22584,835790976392257536,"""RT @theipaper: RT @SJAMcBride If it succeeds, the legal challenge to a DUP-Tory deal could lead to a constitutional crisis… """,1
17709,598190764,"""RT @Independent: Jeremy Corbyn just destroyed Donald Trump in front of tens of thousands at Glastonbury https://t.co/VhDTjkPDDJ""",1
25063,874546010311229441,"""RT @politifuzz: I think Theresa May is just clinging to power out of petty spite because shes jealous she cant get a crowd riled… """,1
25230,875728890723016704,"""@TerryFBH Dear tweeter on #GE2017. Please complete our survey at https://t.co/JezgwrzzkQ""",1
13506,337291312,"""RT @SocialistVoice: Tory councillor who oversaw Grenfell Tower refurb flees his £1.2m home after threats from angry residents https://t.co/…""",1
9097,2734460614,"""RT @DavidJFHalliday: The Scottish Tories dont speak for the Army, Ms. Davidson.""",1
25169,875493184180293632,"""RT @thisisamy_: Unsurprising Tories arent forcing landlords to test for flammable cladding when they dont think homes should be fit for h…""",1
10814,294075128,"""RT @hairymarx1: Tory voters in Devon, who re-elected Tories, only last week protested against the closure of A&amp;E services. Tory vot… """,1
11831,3124440627,"""RT @SocialistVoice: Theresa May is booed and heckled with shouts of shame on you during Armed Forces Day parade in Liverpool https://t.co…""",1
14912,396011927,"""RT @dr_shibley: Theresa Mays wish to ignore the rule of law, by riding roughshod over international courts, should be treated with… """,1
10751,294075128,"""RT @rachshabi: My piece on Corbyns Labour, for the New York Times \nhttps://t.co/aZq4SqTYkZ""",1
1716,138597964,"""RT @withorpe: The young have woken up\n\nTories, your days are numbered https://t.co/Tm0akQIaeK""",1
20616,749710462661562368,"""RT @adambanksdotcom: I dont believe Jeremy Corbyn was against us. Being against war is probably the best thing you can do for soldiers h…""",1
13183,3294298155,"""RT @AsterdisPrime: @relovedreams @polly_choice The eager supporters of those in charge despair because people no longer buy the lies a… """,1
10806,294075128,"""RT @notaguru1878: Lets look to build a world of human rights peace and democracy our PM https://t.co/MiCMKrjb7Y""",1
18278,69654985,"""@williams_neil @janemarie194 @MexicoRS78 @JohnLockeZero @KapturekCzarny @BriefcaseMike @WinnieWoos Whilst putting e… https://t.co/mPaI0XuztG""",1
26163,89780120,"""Labour meeting on 26/6, please support the NHS Reinstatement Bill as a Priority Private Members Bill.  https://t.co/vZX1L8BCsk @SKinnock""",1
7605,251762257,"""RT @FisherAndrew79: In 2007 a Labour govt required new school buildings to be fitted with sprinklers. Last year the Tories dropped it https…""",1
8614,2699160330,"""RT @RichardCR56: 12 cartoons that perfectly sum up the #Tory approach to #Brexitnegotiations https://t.co/25XllHg1HE via @psbook""",1
3166,156680202,"""RT @daverussell: Didnt  Jeremy Corbyn do well at Glastonbury! They loved him!  Perhaps Jez can get Tom Watson in his new band too! https:/…""",1
21947,798516085796536321,"""RT @joannaccherry: Tories to finally act on this due to the dogged determination of @RogMull another @theSNP colleague who will be sad… """,1
7567,251762257,"""RT @nw_nicholas: C4 apparently has evidence of Tory election fraud. Broadcasts it after Tories win election.""",1
10899,2962332694,"""YIP...sums up the Tory negotiating team nicely!!! https://t.co/buOZFryQYv""",1
14321,3634814656,"""RT @BenGelblum: “Shake your chains to earth like dew/Which in sleep had fallen on you:Ye are many—they are few!” #ohShelleybyCorbyn… """,1
23309,848583736727920645,"""Well ... they did say it was in Cardiff \U0001f925 https://t.co/50Ci5oz9c3""",1
19919,740521037922734080,"""RT @garyfoskett: John Ashworth speaking with real authority &amp; conviction on #bbcqt Labour’s policies will ensure victory in the comi… """,1
