Lemma/_writtenForm,Sense/Confidence/_level,Sense/MonolingualExternalRef,Sense/Sentiment/_polarity,Sense/Sentiment/_strength,Sense/Domain,_id,_partOfSpeech
abandoned,manual,,negative,average,,,adj
abandonment,manual,,negative,average,,,noun
abandon,manual,,negative,average,,,verb
abase,manual,,negative,strong,,,verb
abasement,manual,,negative,strong,,,other
abash,manual,,negative,strong,,,verb
abate,manual,,negative,average,,,verb
abdicate,manual,,negative,average,,,verb
aberration,manual,,negative,strong,,,adj
aberration,manual,,negative,strong,,,noun
abhor,manual,,negative,strong,,,other
abhor,manual,,negative,strong,,,verb
abhorred,manual,,negative,strong,,,adj
abhorrence,manual,,negative,strong,,,noun
abhorrent,manual,,negative,strong,,,adj
abhorrently,manual,,negative,strong,,,other
abhors,manual,,negative,strong,,,adj
abhors,manual,,negative,strong,,,noun
abidance,manual,,positive,strong,,,adj
abidance,manual,,positive,strong,,,noun
abide,manual,,positive,strong,,,other
abject,manual,,negative,strong,,,adj
abjectly,manual,,negative,strong,,,other
abjure,manual,,negative,average,,,verb
abilities,manual,,positive,average,,,noun
ability,manual,,positive,average,,,noun
able,manual,,positive,average,,,adj
abnormal,manual,,negative,average,,,adj
abolish,manual,,negative,average,,,verb
abominable,manual,,negative,strong,,,adj
abominably,manual,,negative,strong,,,other
abominate,manual,,negative,strong,,,verb
abomination,manual,,negative,strong,,,noun
above,manual,,positive,average,,,other
above-average,manual,,positive,average,,,adj
abound,manual,,positive,average,,,verb
abrade,manual,,negative,average,,,verb
abrasive,manual,,negative,strong,,,adj
abrupt,manual,,negative,average,,,adj
abscond,manual,,negative,strong,,,verb
absence,manual,,negative,average,,,noun
absentee,manual,,negative,average,,,other
absent-minded,manual,,negative,strong,,,adj
absolve,manual,,positive,strong,,,verb
absolute,manual,,neutral,strong,,,adj
absolutely,manual,,neutral,strong,,,adj
absorbed,manual,,neutral,average,,,verb
absurd,manual,,negative,strong,,,adj
absurdity,manual,,negative,strong,,,noun
absurdly,manual,,negative,strong,,,other
absurdness,manual,,negative,strong,,,noun
abundant,manual,,positive,average,,,adj
abundance,manual,,positive,average,,,noun
abuse,manual,,negative,average,,,adj
abuse,manual,,negative,average,,,noun
abuse,manual,,negative,strong,,,verb
abuses,manual,,negative,average,,,adj
abuses,manual,,negative,average,,,noun
abusive,manual,,negative,strong,,,adj
abysmal,manual,,negative,strong,,,adj
abysmally,manual,,negative,strong,,,other
abyss,manual,,negative,strong,,,noun
accede,manual,,positive,strong,,,verb
accentuate,manual,,neutral,strong,,,verb
accept,manual,,positive,average,,,verb
acceptance,manual,,positive,average,,,noun
acceptable,manual,,positive,average,,,adj
accessible,manual,,positive,average,,,adj
accidental,manual,,negative,average,,,adj
acclaim,manual,,positive,strong,,,noun
acclaim,manual,,positive,strong,,,verb
acclaimed,manual,,positive,strong,,,adj
acclamation,manual,,positive,strong,,,other
accolade,manual,,positive,strong,,,noun
accolades,manual,,positive,strong,,,noun
accommodative,manual,,positive,average,,,adj
accomplish,manual,,positive,average,,,verb
accomplishment,manual,,positive,average,,,noun
accomplishments,manual,,positive,average,,,noun
accord,manual,,positive,average,,,verb
accordance,manual,,positive,average,,,noun
accordantly,manual,,positive,average,,,other
accost,manual,,negative,average,,,verb
accountable,manual,,negative,average,,,adj
accurate,manual,,positive,average,,,adj
accurately,manual,,positive,average,,,adj
accursed,manual,,negative,strong,,,adj
accusation,manual,,negative,strong,,,adj
accusation,manual,,negative,strong,,,noun
accusations,manual,,negative,strong,,,adj
accusations,manual,,negative,strong,,,noun
