,created_at,text,screen_name,followers,friends,rt,fav,0,0
0,Wed Jun 07 16:25:56 +0000 2017," '""Don\'t like Jeremy Corbyn? This might just help... https://t.co/Rb2DOUY1NS""'", 'lozatkinson_art',1550,2171,0,0,0.5833333333333334,left
1,Wed Jun 07 16:25:57 +0000 2017," '""Labour will restore workers rights - the minimum wage going up will mean you get more money in your pocket and a stable job. #GE2017""'", 'jaygrahamuk',268,322,0,0,0.5416666666666666,left
2,Wed Jun 07 16:25:57 +0000 2017," '""I had a dream last night.\nI stood and looked into the Abyss\nAnd Jeremy Corbyn was waving up at me.""'", 'markdaventry',1385,1891,0,0,0.5,left
3,Wed Jun 07 16:25:57 +0000 2017," '""RT @DaveWardGS: YOU KNOW YOU WANT TO SHARE\n\nA bit of fun - get the vote out\n\nCORBYN\'S ON FIRE THERESA MAY IS TERRIFIED 🔥🔥\n\n#GE2017… ""'", 'loveisbrilliant',1599,2437,0,0,0.0,0
4,Wed Jun 07 16:25:57 +0000 2017," '""I\'m enjoying don\'t know. https://t.co/xepHjVqq8I""'", 'lucyprebblish',7542,1413,0,0,0.0,0
5,Wed Jun 07 16:25:57 +0000 2017," '""RT @Conservatives: Are you standing with Theresa May? RETWEET to show you\'re backing Theresa May to get the best Brexit deal - and sec… ""'", '_samrose3',301,507,0,0,0.6666666666666666,right
6,Wed Jun 07 16:25:57 +0000 2017," '""RT @contrxdiction91: HAPPY VOTE LABOUR EVE GUYSSSS""'", 'megsaiko',2564,1840,0,0,0.6666666666666666,0
7,Wed Jun 07 16:25:57 +0000 2017," '""RT @RCorbettMEP: #Osborne points out that Tories - after calling election on #brexit - have utterly failed to reveal their stance on… ""'", 'Rahario',529,1500,0,0,-0.4166666666666667,right
8,Wed Jun 07 16:25:57 +0000 2017," '""RT @BounceBallsUK: RT if you vote Yellow #Peanut to win the #ballselection. The winning Ball &amp; winner announced 09/06/17. Prize: A tub… ""'", 'why13sam',202,3022,0,0,-0.4166666666666667,0
9,Wed Jun 07 16:25:57 +0000 2017," '""@xx_littlelou_xx @Lord_Sugar ironic considering how much the tories dislike immigrants""'", 'bluebouncybubbl',430,1867,0,0,-0.5,0
10,Wed Jun 07 16:25:57 +0000 2017," '""Pictured here - the only 3 people in Scotland that want #Corbyn4PM even less than the Tories! :D https://t.co/Csxhmwa0P6""'", 'ArgyllAtheist',630,832,0,0,-0.5,0
11,Wed Jun 07 16:25:57 +0000 2017," '""RT @m_ldnn_: EVERYONE MAKE SURE YOU TAKE A PEN WITH YOU WHEN YOU GO TO VOTE FOR LABOUR !!!!!!!""'", '_CaramelK',333,267,0,0,-0.5,0
12,Wed Jun 07 16:25:57 +0000 2017," '""RT @YouGov: 33% of Brits think Theresa May running through a wheat field was a very/quite naughty thing to do… ""'", 'cromulentjosh',1693,2274,0,0,-0.5,0
13,Wed Jun 07 16:25:57 +0000 2017," '""RT @johnprescott: How\'s this for a double act! Campaigning #ForTheMany with the brilliant @AngelaRayner. #GE2017 https://t.co/QtCy3FM8T0""'", 'SueLukes',1159,446,0,0,-0.5,0
14,Wed Jun 07 16:25:57 +0000 2017," '""RT @Manville54: before you vote tomoz are you aware of Labour\'s deeply hidden tax where they are gonna scrap the married couples allowance…""'", 'JosephTaylor26',4380,5000,0,0,-0.5,0
