,created_at,text,screen_name,followers,friends,rt,fav,0,0,0,0,0
0,Mon Jun 12 12:05:05 +0000 2017," '""@DPJHodges Its far less of a concern after Thurs. Didnt stand on blocking Brexit. Tories caused it and now have t… https://t.co/0RmA7mw1B1""'", 'paulsevern7',614,824,0,0,3,0,0,22,right
1,Mon Jun 12 12:05:06 +0000 2017," '""RT @AlanDersh: Why did Bernie Sanders campaign for the British anti-semite Jeremy Corbyn? My latest for @GatestoneInst https://t.co/N4O7lmN…""'", 'HarrietBaldwin',20016,3415,0,0,1,0,0,18,left
2,Mon Jun 12 12:05:05 +0000 2017," '""RT @davidallengreen: My thread on Theresa May being the Brexiteers biggest problem all along. https://t.co/j8AJN7IOkj""'", 'hazelglasgow',3957,1739,0,0,2,0,0,15,right
3,Mon Jun 12 12:05:06 +0000 2017," '""RT @MarkSkoda: Hypocrite Jeremy Corbyn says he Welcomes the Cancellation of President Trumps Visit to UK. #LondonHasFallen https://t.co/…""'", 'yb_st3ezy',378,140,0,0,2,0,0,18,left
4,Mon Jun 12 12:05:06 +0000 2017," '""RT @Hepworthclare: Queens Speech *postponed*\nTory Manifesto *shredded*\nNobody has CLUE about what is going on !\nBut HEY - DUP will bail yo…""'", 'AyrshireSpeaker',1978,1329,0,0,0,0,1,21,0
5,Mon Jun 12 12:05:06 +0000 2017," '""#stealthy #GE2017 this must be my 6th or 7th General Election. Certainly the first time Ive ever voted in one! https://t.co/9xIjWDhJqv""'", 'markoedwards',68,266,0,0,2,0,1,21,0
6,Mon Jun 12 12:05:06 +0000 2017," '""Over 20 new MPs with connections to the charity sector  \nhttps://t.co/Cd0yEr9d72\n#GE2017 #Charity #MPs""'", 'CharityExperts',110,181,0,0,1,0,0,13,0
7,Mon Jun 12 12:05:06 +0000 2017," '""RT @meaglemp: So much for getting straight down to work... https://t.co/SnkBt9PoPx""'", 'lanai32',76,184,0,0,4,0,0,11,0
8,Mon Jun 12 12:05:07 +0000 2017," '""Dont let the shockwaves from the #GE2017 result unbalance your finances: 4 tactics to keep your portfolio on track https://t.co/UxD3hvwwmu""'", 'ns_wm',1713,665,0,0,1,0,0,20,0
9,Mon Jun 12 12:05:07 +0000 2017," '""RT @scandifriend: @APHClarkson And I still cant afford a place. Ive heard the same story again and again. What do the Tories offer me? No…""'", 'APHClarkson',8853,785,0,0,2,0,0,25,right
10,Mon Jun 12 12:05:07 +0000 2017," '""RT @mrchrisaddison: Theresa May is the political equivalent of the hotel guest not picking up the call from reception telling them checkout…""'", 'Hrryh_',96,889,0,0,0,0,0,22,right
11,Mon Jun 12 12:05:07 +0000 2017," '""RT @CarolineLucas: Beggars belief. One look at Gove’s voting record shows him unfit for this job: https://t.co/IIzaJRek8I https://t.co/TzIx…""'", 'kfmorel',874,965,0,0,3,0,0,18,0
12,Mon Jun 12 12:05:07 +0000 2017," '""REPORT: Meddling EU Urged Theresa May to Hold Snap Election in Hopes to Derail Brexit https://t.co/OVMDIUciVw""'", 'vnuek',12176,10068,0,0,1,0,0,16,right
13,Mon Jun 12 12:05:07 +0000 2017," '""RT @AaronBastani: Im loving the montage of images here. Clive is brilliant. https://t.co/V41e9HtHVG""'", 'cookielicker12',185,705,0,0,3,0,0,13,0
14,Mon Jun 12 12:05:07 +0000 2017," '""If the Tory/DUP deal does anything I hope its shed light on the lack of rights and respect Irish people still endure under British rule""'", 'massie_lewis',362,514,0,0,0,0,0,25,0
15,Mon Jun 12 12:05:07 +0000 2017," '""RT @MarkSkoda: Hypocrite Jeremy Corbyn says he Welcomes the Cancellation of President Trumps Visit to UK. #LondonHasFallen https://t.co/…""'", 'ajplesim',242,80,0,0,2,0,0,18,left
16,Mon Jun 12 12:05:08 +0000 2017," '""RT @OwenJones84: Tories doubling down on contempt for the young will 100% turn their political fortunes around https://t.co/4ZIOWZYFIC""'", 'KristosScarr',20,109,0,0,1,0,0,18,right
17,Mon Jun 12 12:05:08 +0000 2017," '""RT @jeremycorbyn: Hard-won LGBT rights must not be sold out by @Theresa_May and the Tories as they try to cling to power with the DUP. http…""'", 'cridheone',12792,6621,0,0,1,0,0,26,right
18,Mon Jun 12 12:05:08 +0000 2017," '""RT @EL4JC: Jeremy Corbyn: Man of the Year. #Marr https://t.co/rV27q3frfV""'", 'mendesfthoran_',6635,1048,0,0,2,0,0,10,left
19,Mon Jun 12 12:05:08 +0000 2017," '""RT @JamieMeWrites: If Theresa May cant make the Queens Speech I know a guy wholl step in short notice. https://t.co/gdHYzKXJID""'", 'johnbud86',2078,2137,0,0,2,0,0,20,right
20,Mon Jun 12 12:05:08 +0000 2017," '""RT @newsthump: NEWS! Theresa May appeases DUP’s climate change deniers by handing environment to incompetent bellend… ""'", 'iSayHelloYou',48,195,0,0,0,0,1,17,right
21,Mon Jun 12 12:05:08 +0000 2017," '""Why the Tories are terrified of another General Election https://t.co/rRGPfF5KEk""'", 'edwards1448',12,54,0,0,1,0,0,10,right
22,Mon Jun 12 12:05:08 +0000 2017," '""Chaotic Tories are making the UK in to a laughing stock. https://t.co/Qo4IO5l40j""'", 'McVinoFC',176,201,0,0,2,0,0,12,right
23,Mon Jun 12 12:05:08 +0000 2017," '""RT @Paul1Singh: There is no such thing as a jobs first Brexit - 3.4 million jobs rely directly on Single Market membership.… ""'", 'TimJonesStaffs',382,98,0,0,2,0,0,23,0
24,Mon Jun 12 12:05:08 +0000 2017," '""RT @MichaelLCrick: Tom Watson has written to Theresa May asking whether Rupert Murdoch ever suggested to you Michael Gove should be given…""'", 'Emstodart',267,1463,0,0,0,0,0,22,right
25,Mon Jun 12 12:05:09 +0000 2017," '""RT @lucyybarnes: risky activities help you in later life\ntheresa may:\n\n#aqaenglish https://t.co/sVgOa7bBht""'", 'dilllarge',671,3829,0,0,1,0,0,11,0
26,Mon Jun 12 12:05:08 +0000 2017," '""RT @Coo1_Daddy: @lesvcampbell @UKLabour https://t.co/fUaxTvRsqh Correct. Why should the UK support Apartheid Israel ?""'", 'lesvcampbell',643,672,0,0,2,0,0,14,0
27,Mon Jun 12 12:05:09 +0000 2017," '""RT @cllrjoeporter: My @guardian piece about #GE2017 result &amp; why @Conservatives need a new youth wing &amp; engage more with young people… ""'", 'C4NewsKate',1420,1647,0,0,0,0,0,23,0
28,Mon Jun 12 12:05:09 +0000 2017," '""RT @tradasro: Moray BREXITEERS will be scratching their heads now...the Tories are backstabbing you already. Free movement of trawlers. #Sc…""'", 'clarknat',2882,2872,0,0,5,0,0,20,right
29,Mon Jun 12 12:05:09 +0000 2017," '""@chrishallworth True but the Labour QS would have the optics effect of showing they have a plan/are united/just wai… https://t.co/L5vjCNEkzb""'", 'bartleyrock',379,374,0,0,1,0,0,20,left
30,Mon Jun 12 12:05:09 +0000 2017," '""RT @MrMalky: We have to ask:\nChild Cap\nSanctions\nRape Clause\nDementia Tax\nPension lock removed\nAll open goals\nAnd still people voted Tory?""'", 'PauloconnorMBE',390,727,0,0,0,0,0,17,0
31,Mon Jun 12 12:05:09 +0000 2017," '""RT @AndrewRileyrm: Much Labour support will decline if it aims to take us out of single-market &amp; customs union @DavidEDrew @Glostays. https…""'", 'lesley_62974',757,652,0,0,1,0,0,22,left
32,Mon Jun 12 12:05:09 +0000 2017," '""RT @RichardBurgon: Chaos and instability authored by Theresa May and the Conservatives. Time to go! https://t.co/HOtEkbl4Og""'", 'Pacino10000',31,40,0,0,2,0,1,16,right
33,Mon Jun 12 12:05:09 +0000 2017," '""@MartinTheJag Were Scottish Labour to emerge as the most promising route to the achievement of a socialist policy a… https://t.co/6PqtL6V0QO""'", 'Dr_S_Davidson',302,291,0,0,1,0,0,20,left
34,Mon Jun 12 12:05:09 +0000 2017," '""Comment: I grew up in a safe DUP seat – UK is in for a shock #GE2017 \nhttps://t.co/m2pQ6VsBNu https://t.co/dMPAet1dGT""'", 'TheScotsman',130087,1905,0,0,2,0,0,19,0
35,Mon Jun 12 12:05:09 +0000 2017," '""Maybe they have had to delay the #QueensSpeech so there is enough time to swear in all of the new #Labour MPs. #GE2017 🔥🔥🔥🔥""'", 'wolfmanbass',185,765,0,0,1,0,0,24,0
36,Mon Jun 12 12:05:09 +0000 2017," '""RT @jeremycorbyn: 30 years ago today Diane Abbott became an MP. As the first black woman MP she continues to inspire &amp; represent the… ""'", 'wfb4n1',74,2317,0,0,1,0,0,25,0
37,Mon Jun 12 12:05:09 +0000 2017," '""RT @LipskisGhost: @racybearhold If Labour was doing this there would be calls for a military coup""'", 'StarSparkle_UK',5646,5024,0,0,0,0,0,16,left
38,Mon Jun 12 12:05:10 +0000 2017," '""RT @Number10cat: Michael Gove is in the building. \nThis is not a drill!\nTheresa May has gone full sod them on the electorate.\n#reshuffle…""'", 'homewiththecats',13,41,0,0,2,0,1,22,right
39,Mon Jun 12 12:05:10 +0000 2017," '""RT @MarkSkoda: Hypocrite Jeremy Corbyn says he Welcomes the Cancellation of President Trumps Visit to UK. #LondonHasFallen https://t.co/…""'", 'cosgroveangei',383,135,0,0,2,0,0,18,left
40,Mon Jun 12 12:05:10 +0000 2017," '""RT @tom_watson: I hope all Labour members celebrate the enthusiasm of young voters who shaped this election. Despite Tory chaos the future…""'", 'vivelecommonlaw',1064,1908,0,0,1,0,0,22,None
41,Mon Jun 12 12:05:10 +0000 2017," '""RT @adampayne26: things are back to normal in Labour then https://t.co/MrDLvIKh1I""'", 'willieckerslike',116,54,0,0,1,0,0,11,left
42,Mon Jun 12 12:05:10 +0000 2017," '""RT @estwebber: Gerry Adams: We dont think any deal between the DUP and Tories is good for people here""'", 'nscoll',126,638,0,0,0,0,0,19,right
43,Mon Jun 12 12:05:10 +0000 2017," '""‣ Sometimes Our Nightmares Don’t Come True: the... | When Theresa May called a snap... | https://t.co/SXUQyKQDPR | @NatCounterPunch""'", 'KamalShaqi',1056,762,0,0,7,0,0,19,right
44,Mon Jun 12 12:05:10 +0000 2017," '""RT @Kevin_Maguire: Labours sweetest defeat &amp; Cons bitterest victory. Why May should go in national interest and we hold 2nd election https…""'", 'gary384',62,22,0,0,1,0,0,22,right
45,Mon Jun 12 12:05:11 +0000 2017," '""RT @Harryslaststand: There is now talk that Theresa May will delay both #brexit talks &amp; the Queens speech which indicates the Tories aren…""'", 'WesBez88',220,500,0,0,0,0,0,23,right
46,Mon Jun 12 12:05:11 +0000 2017," '""RT @jdportes: This explains why No deal better than bad deal line weakens UK negotiating position &amp; makes no deal more likely… ""'", 'jdportes',35580,539,0,0,0,0,0,23,0
47,Mon Jun 12 12:05:11 +0000 2017," '""RT @VictoriaPeckham: Theresa May &amp; Amber Rudd arrive for their negotiations with the DUP. https://t.co/UkPQOZXGRX""'", 'storiesofyrlife',208,267,0,0,2,0,0,15,right
48,Mon Jun 12 12:05:11 +0000 2017," '""RT @AlexJCharlton: Shocking! May cancels Queen’s Speech next Monday. We’re watching death of the Conservatives. #JoinLabour #Corbyn2017 htt…""'", 'frankie_888',239,246,0,0,2,0,1,18,right
49,Mon Jun 12 12:05:11 +0000 2017," '""RT @JohnHealey_MP: Tories claim housing is a priority but four days on still no housing minister. Labour would be setting up a new Housing…""'", 'Mark_ED_Lowe',820,1525,0,0,1,0,0,24,None
50,Mon Jun 12 12:05:11 +0000 2017," '""RT @jonsnowC4: Here we go..for those too young to remember. Portadown has been the scene of some very nasty stuff down the years. https://t…""'", 'JohnStrawson',890,1030,0,0,4,0,0,24,0
51,Mon Jun 12 12:05:11 +0000 2017," '""The fact most of Tory MPs have backed May and said her judgement is good? Let them die on their selfserviant swords?""'", 'winlad6',20,81,0,0,0,0,0,22,right
52,Mon Jun 12 12:05:11 +0000 2017," '""RT @hopbin: Tom Watson asks Theresa #May if Rupert #Murdoch influenced her cabinet reshuffle. https://t.co/p8V8jtEepc via @HuffPostUKPol""'", 'scytheanon',2065,1895,0,0,2,0,0,17,right
53,Mon Jun 12 12:05:11 +0000 2017," '""RT @Awifefirst: Can someone tell Labour that their Manifesto also contains the so called hard Brexit? Posturing on this isnt helpi… ""'", 'whatsinitforme',1024,1995,0,0,0,0,0,22,left
54,Mon Jun 12 12:05:11 +0000 2017," '""When your local MP no longer uses Twitter. #Tories https://t.co/a1EGNhBmiF""'", 'alex_pegg',326,255,0,0,2,0,0,10,0
55,Mon Jun 12 12:05:12 +0000 2017," '""RT @MarkSkoda: Hypocrite Jeremy Corbyn says he Welcomes the Cancellation of President Trumps Visit to UK. #LondonHasFallen https://t.co/…""'", 'hamdayassln',359,140,0,0,2,0,0,18,left
56,Mon Jun 12 12:05:12 +0000 2017," '""RT @ElleHa: this website has given us some phenomenally bad takes but poor Theresa May takes the whole fucking pack of digestives""'", 'Notinaboyband',960,264,0,0,0,0,0,22,right
57,Mon Jun 12 12:05:13 +0000 2017," '""RT @PeoplesMomentum: Theres a huge task ahead - but never again can anyone say you cant change the world.\n✔ https://t.co/a1MDh6DlnP\n✔… ""'", 'Unsilversurfer',235,322,0,0,2,0,0,21,0
58,Mon Jun 12 12:05:13 +0000 2017," '""So they curve you and you give them 35k to prove a point? \U0001f926🏾\u200d♂️ https://t.co/8Rm89paNri""'", 'PYSNGR',27502,746,0,0,1,0,0,15,0
59,Mon Jun 12 12:05:13 +0000 2017," '""RT @Harryslaststand: There is now talk that Theresa May will delay both #brexit talks &amp; the Queens speech which indicates the Tories aren…""'", 'Charliemccord16',275,271,0,0,0,0,0,23,right
60,Mon Jun 12 12:05:13 +0000 2017," '""RT @palestininianpr: Labour Party voters have made crystal clear they dont want another Blairite Tory tribute party. The real Labour Party…""'", 'Averyatswanpond',807,1301,0,0,1,0,0,21,None
61,Mon Jun 12 12:05:13 +0000 2017," '""RT @DiligentTruth: She is #PureEvil https://t.co/nT46Q8NWhK""'", 'UmerSadozai',302,449,0,0,1,0,0,6,0
62,Mon Jun 12 12:05:13 +0000 2017," '""RT @Harryslaststand: There is now talk that Theresa May will delay both #brexit talks &amp; the Queens speech which indicates the Tories aren…""'", 'JCarterWoodrow',8018,7921,0,0,0,0,0,23,right
63,Mon Jun 12 12:05:13 +0000 2017," '""RT @Irish_Ulster: @standardnews @DeclanBurke2 ‘UK Tories new bedfellows: the DUP terrorist-linked party’ by Ruaidrí… ""'", 'coimcne',524,383,0,0,0,0,0,15,right
64,Mon Jun 12 12:05:13 +0000 2017," '""RT @MirrorPolitics: 6 nasty Tory policies Theresa May could be forced to ditch from the Queens Speech \n\n#CoalitionOfChaos… ""'", 'NidgeBall1',191,353,0,0,0,0,0,19,right
65,Mon Jun 12 12:05:14 +0000 2017," '""RT @EllenRenton: What do you think is main reason for the loss of 21 SNP seats in #GE2017 #DUPdeal #mondaymotivation - please RT as widely…""'", 'Scotlandscreams',95,89,0,0,0,0,0,25,0
66,Mon Jun 12 12:05:14 +0000 2017," '""RT @LustforLo: nigga they disrespected you and they still got your coins. played yourself https://t.co/8QaQzl4Eji""'", 'Diklava',1552,492,0,0,2,0,0,15,0
67,Mon Jun 12 12:05:14 +0000 2017," '""RT @lewis_goodall: Its not unconstitutional but Labour will rightly say theyre trying to buy themselves more time. Obviously fear losing…""'", 'BrownsteinItay',63,1570,0,0,1,0,0,20,left
68,Mon Jun 12 12:05:14 +0000 2017," '""RT @christopherhope: What is going on? Number 10 now suggesting the Queens Speech might be delayed. This is a Tory Coalition of Chaos.""'", 'johnbud86',2078,2137,0,0,2,0,0,23,right
69,Mon Jun 12 12:05:14 +0000 2017," '""RT @JamilahLemieux: Your MCM gave some white folks $35k to reward employees for being racist https://t.co/nVGH44Czzd""'", 'slimchayedee',1105,727,0,0,1,0,0,16,0
70,Mon Jun 12 12:05:14 +0000 2017," '""RT @MarkSkoda: Hypocrite Jeremy Corbyn says he Welcomes the Cancellation of President Trumps Visit to UK. #LondonHasFallen https://t.co/…""'", 'MarceeeCali',236,615,0,0,2,0,0,18,left
71,Mon Jun 12 12:05:14 +0000 2017," '""The Sith Lords to support minority Tory Government on a confidence and supply basis https://t.co/B28D8QGelH""'", 'SFbookclub',2281,2999,0,0,1,0,0,15,right
72,Mon Jun 12 12:05:14 +0000 2017," '""@MellowOchre @LeonC1963 Im sure mcnicol sends me donation requests cos he knows Im on esa . He takes the piss he… https://t.co/Z0wq9FH2WK""'", 'rhymingmisfit',1102,1531,0,0,2,0,0,22,0
73,Mon Jun 12 12:05:14 +0000 2017," '""RT @jonsnowC4: Here we go..for those too young to remember. Portadown has been the scene of some very nasty stuff down the years. https://t…""'", 'LeedsFromLeeds',1191,3011,0,0,4,0,0,24,0
74,Mon Jun 12 12:05:15 +0000 2017," '""RT @paulmasonnews: Good morning. Its time to call out the bullshit of the Labour moderates - it cost Labour victory. 1/~ They fought a *…""'", 'MarcusMillett',74,45,0,0,2,0,0,25,left
75,Mon Jun 12 12:05:15 +0000 2017," '""RT @liamyoung: This onslaught against young people will only embolden us. We will vote Labour next time in even greater numbers. Its our f…""'", 'tony26860',176,470,0,0,2,0,0,24,left
76,Mon Jun 12 12:05:15 +0000 2017," '""RT @MrMalky: Lest we forget\nThe Tories dont give a f*ck about the Good Friday Agreement\nHere are their local election posters i… ""'", 'AJPOD1965',1550,2642,0,0,0,0,0,22,right
77,Mon Jun 12 12:05:15 +0000 2017," '""RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…""'", 'akash9903',100,114,0,0,1,0,0,16,left
78,Mon Jun 12 12:05:15 +0000 2017," '""RT @Harryslaststand: There is now talk that Theresa May will delay both #brexit talks &amp; the Queens speech which indicates the Tories aren…""'", 'kfmorel',874,965,0,0,0,0,0,23,right
79,Mon Jun 12 12:05:15 +0000 2017," '""RT @AlanCummings20: @DurhamMiners @jeremycorbyn Teresa May is really plumbing the depths with a coalition with the DUP.Tory MPs should… ""'", 'eddygraham39',2457,2379,0,0,1,0,0,20,right
80,Mon Jun 12 12:05:15 +0000 2017," '""RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…""'", 'Sumitsh303',147,114,0,0,1,0,0,16,left
81,Mon Jun 12 12:05:15 +0000 2017," '""RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…""'", 'soham77881',142,114,0,0,1,0,0,16,left
82,Mon Jun 12 12:05:15 +0000 2017," '""RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…""'", 'subham7788',143,114,0,0,1,0,0,16,left
83,Mon Jun 12 12:05:15 +0000 2017," '""RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…""'", 'subrat7788',145,113,0,0,1,0,0,16,left
84,Mon Jun 12 12:05:15 +0000 2017," '""RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…""'", 'sridhar991',149,113,0,0,1,0,0,16,left
85,Mon Jun 12 12:05:16 +0000 2017," '""RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…""'", 'sjagannath4',144,114,0,0,1,0,0,16,left
86,Mon Jun 12 12:05:15 +0000 2017," '""RT @BENEFITS_NEWS: JUDGEMENT DAY: Theresa May faces axe as Tories call emergency meeting TOMORROW https://t.co/pgScIY8IPI""'", 'SonnyDaes',1096,4997,0,0,1,0,0,15,right
87,Mon Jun 12 12:05:16 +0000 2017," '""RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…""'", 'rajesh8107',141,116,0,0,1,0,0,16,left
88,Mon Jun 12 12:05:16 +0000 2017," '""RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…""'", 'sukhdev991',139,113,0,0,1,0,0,16,left
89,Mon Jun 12 12:05:15 +0000 2017," '""RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…""'", 'subham0088',149,113,0,0,1,0,0,16,left
90,Mon Jun 12 12:05:16 +0000 2017," '""RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…""'", 'Keshabrana12',91,115,0,0,1,0,0,16,left
91,Mon Jun 12 12:05:16 +0000 2017," '""RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…""'", 'mahimachoudhur2',145,114,0,0,1,0,0,16,left
92,Mon Jun 12 12:05:16 +0000 2017," '""Labour Leader Ramsay Macdonald give up plans to visit Russia due to popular opposition toward his pacifist views.""'", 'CenturyAgoToday',17136,37,0,0,1,0,0,18,0
93,Mon Jun 12 12:05:15 +0000 2017," '""Very telling how open Tory MPs feel they can be in criticising their own manifesto now. https://t.co/KLf3yp9h2Z""'", 'TomMlud',2313,1746,0,0,2,0,0,17,right
94,Mon Jun 12 12:05:16 +0000 2017," '""RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…""'", 'Narendr815',144,115,0,0,1,0,0,16,left
95,Mon Jun 12 12:05:16 +0000 2017," '""@SkyNews @francesdavies15 The Tories are grasping at time.""'", 'wordnewspaper',1779,2728,0,0,1,0,0,8,right
96,Mon Jun 12 12:05:16 +0000 2017," '""RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…""'", 'fatima77882',97,122,0,0,1,0,0,16,left
97,Mon Jun 12 12:05:16 +0000 2017," '""RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…""'", 'jamuna7788',101,115,0,0,1,0,0,16,left
98,Mon Jun 12 12:05:16 +0000 2017," '""RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…""'", 'sameersharma410',143,113,0,0,1,0,0,16,left
99,Mon Jun 12 12:05:16 +0000 2017," '""RT @empireofthekop: Jeremy Corbyn nutmegging members of the public😉 \n\n🎥 LDN Movements https://t.co/4yRWvlmTMR""'", 'DavidwallbDavid',443,911,0,0,1,0,0,13,left
100,Mon Jun 12 12:05:16 +0000 2017," '""@Yes_Perth_City @WingsScotland Problem is - fallacy that there are normal or decent Tories they might think they… https://t.co/hm6RRQR6Cu""'", 'The45Storm',12610,3926,0,0,1,0,0,18,right
101,Mon Jun 12 12:05:16 +0000 2017," '""RT @JamieMeWrites: If Theresa May cant make the Queens Speech I know a guy wholl step in short notice. https://t.co/gdHYzKXJID""'", 'Battillac',542,954,0,0,2,0,0,20,right
102,Mon Jun 12 12:05:16 +0000 2017," '""RT @MichaelLCrick: Tom Watson has written to Theresa May asking whether Rupert Murdoch ever suggested to you Michael Gove should be given…""'", 'mr_ceebs',1353,2264,0,0,0,0,0,22,right
103,Mon Jun 12 12:05:16 +0000 2017," '""RT @markthomasinfo: What would be really really useful right now is if Labour focused attack on Tories and their marching partners.""'", 'acme_orange',70,339,0,0,1,0,0,21,None
104,Mon Jun 12 12:05:16 +0000 2017," '""@silverrich39 Hes like every Tory! Why let the truth get in the way of their agenda!""'", 'TheAnethetist',527,951,0,0,0,0,2,16,0
105,Mon Jun 12 12:05:16 +0000 2017," '""RT @Paul1Singh: Maybe if Corbyn hadnt whipped the PLP to vote with the Tories over Art 50 &amp; then backed a Tory hard Brexit? https://t.co/C…""'", 'chrisgerhard',1189,1255,0,0,1,0,0,25,None
106,Mon Jun 12 12:05:16 +0000 2017," '""RT @spietikainen: Every child has the right to a childhood. Acting together to end child labour. #WorldDayAgainstChildLabour""'", 'seppoparvi',277,421,0,0,2,0,0,17,0
107,Mon Jun 12 12:05:16 +0000 2017," '""RT @JackyHolyoake: @jameelq @girlfriday8861 @acgrayling @grahambsi @Eureluctantvote @labour @jeremycorbyn It seems you fail to underst… ""'", 'ActualHalfwen',463,2001,0,0,0,0,0,16,0
108,Mon Jun 12 12:05:17 +0000 2017," '""RT @SandPatterson: Not a failure. BBC is broadcasting arm of the tory establishment. https://t.co/Wzr0QS2gHM""'", 'weestie97',2235,2718,0,0,3,0,0,14,0
109,Mon Jun 12 12:05:16 +0000 2017," '""@UKuncut @jeremycorbyn @guardian I think its interesting that both Jeremy Corbyn and Donald Trump have the same fake news enemies.""'", 'Zoompad',1562,662,0,0,1,0,0,20,left
110,Mon Jun 12 12:05:17 +0000 2017," '""RT @paulwaugh: Remember Mays Coalition of chaos attack on Labour? Now Queens Speech/Brexit talks delayed as DUP deal unresolved https:/…""'", 'mredinburgh',1007,1037,0,0,0,0,0,20,0
111,Mon Jun 12 12:05:17 +0000 2017," '""RT @BrexitCentral: Graham Brady: The Labour Party was contesting the election with a policy on the EU that was broadly the same as th… ""'", 'toryVal',340,257,0,0,0,0,0,25,left
112,Mon Jun 12 12:05:17 +0000 2017," '""RT @dr_alex_gates: Encouraging fact: of Conservatives 318 seats there was a Tory➡️Labour swing in 215 of them! (My maths)\nThe tide is turn…""'", 'jenhewitt4',171,184,0,0,0,0,1,22,right
113,Mon Jun 12 12:05:17 +0000 2017," '""Another Tory liar! https://t.co/vSRsO1muhI""'", 'TrevMo',44,232,0,0,1,0,1,4,right
